edge_id,allocation_id,target_type,target_id,item,lexeme_id,sense_id,source_record_id,edge_type,from_story_id,to_story_id,from_island_id,to_island_id,route_class,required_evidence_class,productive_demand_rule,regional_policy,mastery_claim,curriculum_version,status,notes
REC-A1-000011,SEQ-A1-000014,MWU_SOURCE_UNIT,12B1-MWU-0211,"hola, ¿qué tal?",,,12B1-MWU-0211,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000012,SEQ-A1-000014,MWU_SOURCE_UNIT,12B1-MWU-0211,"hola, ¿qué tal?",,,12B1-MWU-0211,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000013,SEQ-A1-000002,SENSE,SENSE-A1-000133,chao,LEX-A1-000131,SENSE-A1-000133,,LOCAL_REUSE,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000014,SEQ-A1-000002,SENSE,SENSE-A1-000133,chao,LEX-A1-000131,SENSE-A1-000133,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000015,SEQ-A1-000002,SENSE,SENSE-A1-000133,chao,LEX-A1-000131,SENSE-A1-000133,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000016,SEQ-A1-000004,SENSE,SENSE-A1-000217,encantado,LEX-A1-000213,SENSE-A1-000217,,LOCAL_REUSE,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000017,SEQ-A1-000004,SENSE,SENSE-A1-000217,encantado,LEX-A1-000213,SENSE-A1-000217,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000018,SEQ-A1-000004,SENSE,SENSE-A1-000217,encantado,LEX-A1-000213,SENSE-A1-000217,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000019,SEQ-A1-000006,SENSE,SENSE-A1-000292,hola,LEX-A1-000287,SENSE-A1-000292,,LOCAL_REUSE,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000020,SEQ-A1-000006,SENSE,SENSE-A1-000292,hola,LEX-A1-000287,SENSE-A1-000292,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000021,SEQ-A1-000006,SENSE,SENSE-A1-000292,hola,LEX-A1-000287,SENSE-A1-000292,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000022,SEQ-A1-000008,SENSE,SENSE-A1-000510,salud,LEX-A1-000501,SENSE-A1-000510,,LOCAL_REUSE,A1-M01-I01-S1,A1-M01-I01-S2,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000023,SEQ-A1-000008,SENSE,SENSE-A1-000510,salud,LEX-A1-000501,SENSE-A1-000510,,NEAR_TRANSFER,A1-M01-I01-S2,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000024,SEQ-A1-000008,SENSE,SENSE-A1-000510,salud,LEX-A1-000501,SENSE-A1-000510,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000025,SEQ-A1-000010,GRAMMAR_UNIT,GRAM-A1-124,Vocativo en posición inicial o final,,,,LOCAL_REUSE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000026,SEQ-A1-000010,GRAMMAR_UNIT,GRAM-A1-124,Vocativo en posición inicial o final,,,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000027,SEQ-A1-000010,GRAMMAR_UNIT,GRAM-A1-124,Vocativo en posición inicial o final,,,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000028,SEQ-A1-000012,MWU_SOURCE_UNIT,12B1-MWU-0209,buenas tardes,,,12B1-MWU-0209,LOCAL_REUSE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000029,SEQ-A1-000012,MWU_SOURCE_UNIT,12B1-MWU-0209,buenas tardes,,,12B1-MWU-0209,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000030,SEQ-A1-000012,MWU_SOURCE_UNIT,12B1-MWU-0209,buenas tardes,,,12B1-MWU-0209,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000031,SEQ-A1-000015,MWU_SOURCE_UNIT,12B1-MWU-0213,hasta mañana,,,12B1-MWU-0213,LOCAL_REUSE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000032,SEQ-A1-000015,MWU_SOURCE_UNIT,12B1-MWU-0213,hasta mañana,,,12B1-MWU-0213,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000033,SEQ-A1-000015,MWU_SOURCE_UNIT,12B1-MWU-0213,hasta mañana,,,12B1-MWU-0213,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000034,SEQ-A1-000001,SENSE,SENSE-A1-000015,adiós,LEX-A1-000015,SENSE-A1-000015,,LOCAL_REUSE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000035,SEQ-A1-000001,SENSE,SENSE-A1-000015,adiós,LEX-A1-000015,SENSE-A1-000015,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000036,SEQ-A1-000001,SENSE,SENSE-A1-000015,adiós,LEX-A1-000015,SENSE-A1-000015,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000037,SEQ-A1-000003,SENSE,SENSE-A1-000208,eh,LEX-A1-000204,SENSE-A1-000208,,LOCAL_REUSE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000038,SEQ-A1-000003,SENSE,SENSE-A1-000208,eh,LEX-A1-000204,SENSE-A1-000208,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000039,SEQ-A1-000003,SENSE,SENSE-A1-000208,eh,LEX-A1-000204,SENSE-A1-000208,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000040,SEQ-A1-000005,SENSE,SENSE-A1-000275,gracias,LEX-A1-000270,SENSE-A1-000275,,LOCAL_REUSE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000041,SEQ-A1-000005,SENSE,SENSE-A1-000275,gracias,LEX-A1-000270,SENSE-A1-000275,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000042,SEQ-A1-000005,SENSE,SENSE-A1-000275,gracias,LEX-A1-000270,SENSE-A1-000275,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000043,SEQ-A1-000007,SENSE,SENSE-A1-000442,perdón,LEX-A1-000434,SENSE-A1-000442,,LOCAL_REUSE,A1-M01-I01-S2,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000044,SEQ-A1-000007,SENSE,SENSE-A1-000442,perdón,LEX-A1-000434,SENSE-A1-000442,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000045,SEQ-A1-000007,SENSE,SENSE-A1-000442,perdón,LEX-A1-000434,SENSE-A1-000442,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,CONTEXTUAL_OR_FUNCTION_BOUND,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000046,SEQ-A1-000034,GRAMMAR_UNIT,GRAM-A1-001,Nombres de pila: uso general sin artículo,,,,LOCAL_REUSE,A1-M01-I02-S1,A1-M01-I02-S3,A1-M01-I02,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000047,SEQ-A1-000034,GRAMMAR_UNIT,GRAM-A1-001,Nombres de pila: uso general sin artículo,,,,NEAR_TRANSFER,A1-M01-I02-S3,A1-M01-I03-S4,A1-M01-I02,A1-M01-I03,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000048,SEQ-A1-000034,GRAMMAR_UNIT,GRAM-A1-001,Nombres de pila: uso general sin artículo,,,,DISTANT_RETURN,A1-M01-I03-S4,A1-M02-I02-S4,A1-M01-I03,A1-M02-I02,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000049,SEQ-A1-000035,GRAMMAR_UNIT,GRAM-A1-002,Hipocorísticos y diminutivos de nombres propios: reconocimiento de formas frecuentes,,,,LOCAL_REUSE,A1-M01-I02-S1,A1-M01-I02-S3,A1-M01-I02,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000050,SEQ-A1-000035,GRAMMAR_UNIT,GRAM-A1-002,Hipocorísticos y diminutivos de nombres propios: reconocimiento de formas frecuentes,,,,NEAR_TRANSFER,A1-M01-I02-S3,A1-M01-I03-S4,A1-M01-I02,A1-M01-I03,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000051,SEQ-A1-000035,GRAMMAR_UNIT,GRAM-A1-002,Hipocorísticos y diminutivos de nombres propios: reconocimiento de formas frecuentes,,,,DISTANT_RETURN,A1-M01-I03-S4,A1-M02-I02-S4,A1-M01-I03,A1-M02-I02,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000052,SEQ-A1-000036,GRAMMAR_UNIT,GRAM-A1-003,Apellidos: uso general sin artículo,,,,LOCAL_REUSE,A1-M01-I02-S1,A1-M01-I02-S3,A1-M01-I02,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000053,SEQ-A1-000036,GRAMMAR_UNIT,GRAM-A1-003,Apellidos: uso general sin artículo,,,,NEAR_TRANSFER,A1-M01-I02-S3,A1-M01-I03-S4,A1-M01-I02,A1-M01-I03,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000054,SEQ-A1-000036,GRAMMAR_UNIT,GRAM-A1-003,Apellidos: uso general sin artículo,,,,DISTANT_RETURN,A1-M01-I03-S4,A1-M02-I02-S4,A1-M01-I03,A1-M02-I02,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000055,SEQ-A1-000040,GRAMMAR_UNIT,GRAM-A1-067,"Personas gramaticales: yo, tú, él/ella, nosotros/as, vosotros/as, ellos/ellas",,,,LOCAL_REUSE,A1-M01-I02-S1,A1-M01-I02-S2,A1-M01-I02,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000056,SEQ-A1-000040,GRAMMAR_UNIT,GRAM-A1-067,"Personas gramaticales: yo, tú, él/ella, nosotros/as, vosotros/as, ellos/ellas",,,,NEAR_TRANSFER,A1-M01-I02-S2,A1-M01-I03-S4,A1-M01-I02,A1-M01-I03,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
