record_type,item,first_phase,phases,categories,notes
ATOMIC_FORM,avenida,6A,6A,Sustantivos,
ATOMIC_FORM,avión,6A,6A,Sustantivos,
ATOMIC_FORM,ayer,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,azul,6A,6A,Adjetivos,
ATOMIC_FORM,año,6B,6B,Sustantivos,
ATOMIC_FORM,bailar,6A,6A,Verbos,
ATOMIC_FORM,bajo,6A,6A,Adjetivos,
ATOMIC_FORM,baloncesto,6A,6A,Sustantivos,
ATOMIC_FORM,banco,6A,6A,Sustantivos,
ATOMIC_FORM,bar,6A,6A,Sustantivos,
ATOMIC_FORM,barato,6A,6A,Adjetivos,
ATOMIC_FORM,barba,6A,6A,Sustantivos,
ATOMIC_FORM,barco,6A,6A,Sustantivos,
ATOMIC_FORM,bastante,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,bañarse,6A,6A,Verbos,
ATOMIC_FORM,baño,6A,6A,Sustantivos,
ATOMIC_FORM,beber,6A,6A,Verbos,
ATOMIC_FORM,biblioteca,6A,6A,Sustantivos,
ATOMIC_FORM,bien,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,bigote,6A,6A,Sustantivos,
ATOMIC_FORM,billete,6A,6A,Sustantivos,
ATOMIC_FORM,blanco,6A,6A,Adjetivos,
ATOMIC_FORM,bocadillo,6A,6A,Sustantivos,
ATOMIC_FORM,bolso,6A,6A,Sustantivos,
ATOMIC_FORM,bolígrafo,6A,6A,Sustantivos,
ATOMIC_FORM,bombero,6A,6A,Sustantivos,
ATOMIC_FORM,bonito,6A,6A,Adjetivos,
ATOMIC_FORM,budista,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,bueno,6A,6A,Adjetivos,
ATOMIC_FORM,café,6A,6A,Sustantivos,
ATOMIC_FORM,calefacción,6A,6A,Sustantivos,
ATOMIC_FORM,caliente,6B,6B,Adjetivos,
ATOMIC_FORM,calle,6A,6A,Sustantivos,
ATOMIC_FORM,calor,6A,6A,Sustantivos,
ATOMIC_FORM,cama,6A,6A,Sustantivos,
ATOMIC_FORM,camarero,6A,6A,Sustantivos,
ATOMIC_FORM,cambiar,6A,6A,Verbos,
ATOMIC_FORM,camisa,6A,6A,Sustantivos,
ATOMIC_FORM,campin,6A,6A,Sustantivos,
ATOMIC_FORM,campo,6A,6A,Sustantivos,
ATOMIC_FORM,canción,6A,6A,Sustantivos,
ATOMIC_FORM,cantante,6A,6A,Sustantivos,
ATOMIC_FORM,cantar,6A,6A,Verbos,
ATOMIC_FORM,capital,6A,6A,Sustantivos,
ATOMIC_FORM,cara,6A,6A,Sustantivos,
ATOMIC_FORM,carne,6A,6A,Sustantivos,
ATOMIC_FORM,carné,6A,6A,Sustantivos,
ATOMIC_FORM,caro,6A,6A,Adjetivos,
ATOMIC_FORM,carretera,6A,6A,Sustantivos,
ATOMIC_FORM,carta,6A,6A,Sustantivos,
ATOMIC_FORM,cartera,6A,6A,Sustantivos,
ATOMIC_FORM,casa,6A,6A,Sustantivos,
ATOMIC_FORM,casado,6A,6A,Adjetivos,
ATOMIC_FORM,catedral,6A,6A,Sustantivos,
ATOMIC_FORM,cena,6A,6A,Sustantivos,
ATOMIC_FORM,cenar,6A,6A,Verbos,
ATOMIC_FORM,central,6A,6A,Adjetivos,
ATOMIC_FORM,centro,6A,6A,Sustantivos,
ATOMIC_FORM,cerca,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,cerrado,6B,6B,Adjetivos,
ATOMIC_FORM,cerrar,6B,6B,Verbos,
ATOMIC_FORM,cerveza,6A,6A,Sustantivos,
ATOMIC_FORM,chao,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,chico,6A,6A,Sustantivos,
ATOMIC_FORM,cine,6A,6A,Sustantivos,
ATOMIC_FORM,circo,6A,6A,Sustantivos,
ATOMIC_FORM,ciudad,6A,6A,Sustantivos,
ATOMIC_FORM,claro,6A,6A,Adjetivos,
ATOMIC_FORM,clase,6A,6A,Sustantivos,
ATOMIC_FORM,coche,6A,6A,Sustantivos,
ATOMIC_FORM,cocina,6A,6A,Sustantivos,
ATOMIC_FORM,colegio,6A,6A,Sustantivos,
ATOMIC_FORM,comer,6A,6A,Verbos,
ATOMIC_FORM,comercial,6A,6A,Adjetivos,
ATOMIC_FORM,comida,6A,6A,Sustantivos,
ATOMIC_FORM,compañero,6A,6A,Sustantivos,
ATOMIC_FORM,comprador,6A,6A,Sustantivos,
ATOMIC_FORM,comprar,6A,6A,Verbos,
ATOMIC_FORM,comprender,6A,6A,Verbos,
ATOMIC_FORM,comunicado,6A,6A,Adjetivos,
ATOMIC_FORM,con,6B,6B,Preposiciones,
ATOMIC_FORM,concierto,6A,6A,Sustantivos,
ATOMIC_FORM,conducir,6A,6A,Verbos,
ATOMIC_FORM,conductor,6A,6A,Sustantivos,
ATOMIC_FORM,conocer,6C,6C,Verbos,
ATOMIC_FORM,correo,6A,6A,Sustantivos,
ATOMIC_FORM,correr,6A,6A,Verbos,
ATOMIC_FORM,corto,6B,6B,Adjetivos,
ATOMIC_FORM,costar,6B,6B,Verbos,
ATOMIC_FORM,creer,6B,6B,Verbos,
ATOMIC_FORM,cristiano,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,crédito,6A,6A,Sustantivos,
ATOMIC_FORM,cuarta,6D,6D,Ordinal,
ATOMIC_FORM,cuarto,6A,6A;6D,Sustantivos;Ordinal,forma ya existente; añade POS/sentido ordinal
ATOMIC_FORM,cuenta,6A,6A,Sustantivos,
ATOMIC_FORM,cuál,6C,6C,Funcionales,
ATOMIC_FORM,cuándo,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,cuánta,6D,6D,Interrogativos flexionados,
ATOMIC_FORM,cuántas,6D,6D,Interrogativos flexionados,
ATOMIC_FORM,cuánto,6C,6C,Funcionales,
ATOMIC_FORM,cuántos,6D,6D,Interrogativos flexionados,
ATOMIC_FORM,céntimo,6A,6A,Sustantivos,
ATOMIC_FORM,céntrico,6A,6A,Adjetivos,
ATOMIC_FORM,código,6A,6A,Sustantivos,
ATOMIC_FORM,cómo,6C,6C,Funcionales,
ATOMIC_FORM,de,6B,6B,Preposiciones,
ATOMIC_FORM,dedicarse,6C,6C,Verbos,
ATOMIC_FORM,del,6D,6D,Artículos/contracciones,
ATOMIC_FORM,delgado,6A,6A,Adjetivos,
ATOMIC_FORM,deporte,6A,6A,Sustantivos,
ATOMIC_FORM,desayunar,6A,6A,Verbos,
ATOMIC_FORM,desayuno,6A,6A,Sustantivos,
ATOMIC_FORM,despacio,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,después,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,diccionario,6A,6A,Sustantivos,
ATOMIC_FORM,diente,6A,6A,Sustantivos,
ATOMIC_FORM,difícil,6B,6B,Adjetivos,
ATOMIC_FORM,dinero,6A,6A,Sustantivos,
ATOMIC_FORM,dirección,6A,6A,Sustantivos,
ATOMIC_FORM,director,6A,6A,Sustantivos,
ATOMIC_FORM,discoteca,6A,6A,Sustantivos,
ATOMIC_FORM,divorciado,6A,6A,Adjetivos,
ATOMIC_FORM,doble,6A,6A,Adjetivos,
ATOMIC_FORM,don,6D,6D,Tratamiento,
ATOMIC_FORM,dormitorio,6A,6A,Sustantivos,
ATOMIC_FORM,doña,6D,6D,Tratamiento,
ATOMIC_FORM,ducha,6A,6A,Sustantivos,
ATOMIC_FORM,ducharse,6A,6A,Verbos,
ATOMIC_FORM,DVD,6A,6A,Sustantivos,
ATOMIC_FORM,décima,6D,6D,Ordinal,
ATOMIC_FORM,décimo,6D,6D,Ordinal,
ATOMIC_FORM,día,6B,6B,Sustantivos,
ATOMIC_FORM,dónde,6C,6C,Funcionales,
ATOMIC_FORM,edad,6A,6A,Sustantivos,
ATOMIC_FORM,edificio,6A,6A,Sustantivos,
ATOMIC_FORM,eh,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,ejercicio,6A,6A,Sustantivos,
ATOMIC_FORM,el,6D,6D,Artículos/contracciones,
ATOMIC_FORM,electrónico,6A,6A,Adjetivos,
ATOMIC_FORM,ella,6D,6D,Pronombres sujeto,
ATOMIC_FORM,ellas,6D,6D,Pronombres sujeto,
ATOMIC_FORM,ellos,6D,6D,Pronombres sujeto,
ATOMIC_FORM,empezar,6B,6B,Verbos,
ATOMIC_FORM,empresa,6A,6A,Sustantivos,
ATOMIC_FORM,en,6B,6B,Preposiciones,
ATOMIC_FORM,encantado,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,enfermero,6A,6A,Sustantivos,
ATOMIC_FORM,enfermo,6A,6A,Adjetivos,
ATOMIC_FORM,ensalada,6A,6A,Sustantivos,
ATOMIC_FORM,entender,6A,6A,Verbos,
ATOMIC_FORM,entonces,6D,6D,Adverbios gramaticales,
ATOMIC_FORM,entrada,6B,6B,Sustantivos,
ATOMIC_FORM,entrar,6B,6B,Verbos,
ATOMIC_FORM,entre,6B,6B,Preposiciones,
ATOMIC_FORM,esa,6D,6D,Demostrativos,
ATOMIC_FORM,esas,6D,6D,Demostrativos,
ATOMIC_FORM,escalera,6A,6A,Sustantivos,
ATOMIC_FORM,escribir,6A,6A,Verbos,
ATOMIC_FORM,escuchar,6A,6A,Verbos,
ATOMIC_FORM,escuela,6A,6A,Sustantivos,
ATOMIC_FORM,ese,6C,6C,Funcionales,
ATOMIC_FORM,eso,6D,6D,Demostrativos,
ATOMIC_FORM,esos,6D,6D,Demostrativos,
ATOMIC_FORM,español,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,esquiar,6A,6A,Verbos,
ATOMIC_FORM,esta,6D,6D,Demostrativos,
ATOMIC_FORM,estación,6A,6A,Sustantivos,
ATOMIC_FORM,estantería,6A,6A,Sustantivos,
ATOMIC_FORM,estar,6A,6A,Verbos,
ATOMIC_FORM,estas,6D,6D,Demostrativos,
ATOMIC_FORM,este,6A,6A,Sustantivos,
ATOMIC_FORM,esto,6C,6C,Funcionales,
ATOMIC_FORM,estos,6D,6D,Demostrativos,
ATOMIC_FORM,estudiante,6A,6A,Sustantivos,
ATOMIC_FORM,estudiar,6A,6A,Verbos,
ATOMIC_FORM,estudio,6A,6A,Sustantivos,
ATOMIC_FORM,euro,6A,6A,Sustantivos,
ATOMIC_FORM,examen,6A,6A,Sustantivos,
ATOMIC_FORM,exposición,6A,6A,Sustantivos,
ATOMIC_FORM,exterior,6A,6A,Adjetivos,
ATOMIC_FORM,extranjero,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,falda,6A,6A,Sustantivos,
ATOMIC_FORM,familia,6A,6A,Sustantivos,
ATOMIC_FORM,farmacia,6A,6A,Sustantivos,
ATOMIC_FORM,fax,6A,6A,Sustantivos,
ATOMIC_FORM,felicidades,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,feo,6A,6A,Adjetivos,
ATOMIC_FORM,fiesta,6A,6A,Sustantivos,
ATOMIC_FORM,fijo,6A,6A,Adjetivos,
ATOMIC_FORM,firmar,6A,6A,Verbos,
ATOMIC_FORM,flor,6A,6A,Sustantivos,
ATOMIC_FORM,foto,6A,6A,Sustantivos,
ATOMIC_FORM,fotocopia,6A,6A,Sustantivos,
ATOMIC_FORM,fruta,6A,6A,Sustantivos,
ATOMIC_FORM,frío,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,fácil,6B,6B,Adjetivos,
ATOMIC_FORM,fútbol,6A,6A,Sustantivos,
ATOMIC_FORM,gafa,6A,6A,Sustantivos,normaliza forma fuente plural `gafas` y singular `gafa`
ATOMIC_FORM,garaje,6A,6A,Sustantivos,
ATOMIC_FORM,gente,6B,6B,Sustantivos,
ATOMIC_FORM,gimnasia,6A,6A,Sustantivos,
ATOMIC_FORM,goma,6A,6A,Sustantivos,
ATOMIC_FORM,gordo,6A,6A,Adjetivos,
ATOMIC_FORM,gracias,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,grande,6A,6A,Adjetivos,
ATOMIC_FORM,gris,6B,6B,Adjetivos,
ATOMIC_FORM,guapo,6A,6A,Adjetivos,
ATOMIC_FORM,guión,6A,6A,Sustantivos,
ATOMIC_FORM,gustar,6C,6C,Verbos,
ATOMIC_FORM,haber,6B,6B,Verbos,
ATOMIC_FORM,habitación,6A,6A,Sustantivos,
ATOMIC_FORM,hablar,6A,6A,Verbos,
ATOMIC_FORM,hacer,6A,6A,Verbos,
ATOMIC_FORM,hamburguesa,6A,6A,Sustantivos,
ATOMIC_FORM,hasta,6C,6C,Funcionales,
ATOMIC_FORM,hermano,6A,6A,Sustantivos,
ATOMIC_FORM,hermoso,6B,6B,Adjetivos,
ATOMIC_FORM,hijo,6A,6A,Sustantivos,
ATOMIC_FORM,hola,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,hombre,6A,6A,Sustantivos,
ATOMIC_FORM,hora,6B,6B,Sustantivos,
ATOMIC_FORM,horario,6A,6A,Sustantivos,
ATOMIC_FORM,hospital,6A,6A,Sustantivos,
ATOMIC_FORM,hotel,6A,6A,Sustantivos,
ATOMIC_FORM,hoy,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,huevo,6A,6A,Sustantivos,
ATOMIC_FORM,ida,6A,6A,Sustantivos,
ATOMIC_FORM,identidad,6A,6A,Sustantivos,
ATOMIC_FORM,iglesia,6A,6A,Sustantivos,
ATOMIC_FORM,individual,6A,6A,Adjetivos,
ATOMIC_FORM,información,6A,6A,Sustantivos,
ATOMIC_FORM,ingeniero,6A,6A,Sustantivos,
ATOMIC_FORM,instituto,6A,6A,Sustantivos,
ATOMIC_FORM,instrumento,6A,6A,Sustantivos,
ATOMIC_FORM,inteligente,6A,6A,Adjetivos,
ATOMIC_FORM,interesante,6A,6A,Adjetivos,
ATOMIC_FORM,interior,6A,6A,Adjetivos,
ATOMIC_FORM,Internet,6A,6A,Sustantivos,
ATOMIC_FORM,invierno,6A,6A,Sustantivos,
ATOMIC_FORM,ir,6A,6A,Verbos,
ATOMIC_FORM,jabón,6A,6A,Sustantivos,
ATOMIC_FORM,japonés,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,jardín,6A,6A,Sustantivos,
ATOMIC_FORM,jefe,6A,6A,Sustantivos,
ATOMIC_FORM,jersey,6A,6A,Sustantivos,
ATOMIC_FORM,joven,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,judío,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,juego,6A,6A,Sustantivos,
ATOMIC_FORM,jugar,6A,6A,Verbos,
ATOMIC_FORM,kilómetro,6B,6B,Sustantivos,
ATOMIC_FORM,la,6D,6D,Artículos/contracciones,
ATOMIC_FORM,largo,6B,6B,Adjetivos,
ATOMIC_FORM,las,6D,6D,Artículos/contracciones,
ATOMIC_FORM,lavabo,6A,6A,Sustantivos,
ATOMIC_FORM,lavarse,6A,6A,Verbos,
ATOMIC_FORM,lección,6A,6A,Sustantivos,
ATOMIC_FORM,leche,6A,6A,Sustantivos,
ATOMIC_FORM,leer,6A,6A,Verbos,
ATOMIC_FORM,lejos,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,lento,6B,6B,Adjetivos,
ATOMIC_FORM,levantarse,6A,6A,Verbos,
ATOMIC_FORM,libro,6A,6A,Sustantivos,
ATOMIC_FORM,lindo,6B,6B,Adjetivos,
ATOMIC_FORM,llamarse,6A,6A;6C,Verbos,refuerzo; ya existía antes de 6C
ATOMIC_FORM,llave,6A,6A,Sustantivos,
ATOMIC_FORM,llegar,6B,6B,Verbos,
ATOMIC_FORM,llevar,6A,6A,Verbos,
ATOMIC_FORM,llover,6A,6A,Verbos,
ATOMIC_FORM,los,6D,6D,Artículos/contracciones,
ATOMIC_FORM,lugar,6A,6A,Sustantivos,
ATOMIC_FORM,lápiz,6A,6A,Sustantivos,
ATOMIC_FORM,madre,6A,6A,Sustantivos,
ATOMIC_FORM,mal,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,maleta,6A,6A,Sustantivos,
ATOMIC_FORM,malo,6A,6A,Adjetivos,
ATOMIC_FORM,mano,6A,6A,Sustantivos,
ATOMIC_FORM,mapa,6A,6A,Sustantivos,
ATOMIC_FORM,mar,6A,6A,Sustantivos,
ATOMIC_FORM,marido,6A,6A,Sustantivos,
ATOMIC_FORM,marroquí,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,marrón,6A,6A,Adjetivos,
ATOMIC_FORM,mañana,6B,6B,Sustantivos;Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,me,6D,6D,Pronombres átonos,
ATOMIC_FORM,menos,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,mensaje,6A,6A,Sustantivos,
ATOMIC_FORM,menú,6A,6A,Sustantivos,
ATOMIC_FORM,mercado,6A,6A,Sustantivos,
ATOMIC_FORM,merendar,6A,6A,Verbos,
ATOMIC_FORM,merienda,6A,6A,Sustantivos,
ATOMIC_FORM,mes,6B,6B,Sustantivos,
ATOMIC_FORM,mesa,6A,6A,Sustantivos,
ATOMIC_FORM,metro,6A,6A,Sustantivos,
ATOMIC_FORM,mexicano,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,mezquita,6A,6A,Sustantivos,
ATOMIC_FORM,mi,6C,6C,Funcionales,
ATOMIC_FORM,minuto,6B,6B,Sustantivos,
ATOMIC_FORM,mis,6D,6D,Posesivos,
ATOMIC_FORM,momento,6B,6B,Sustantivos,
ATOMIC_FORM,montaña,6A,6A,Sustantivos,
ATOMIC_FORM,monumento,6A,6A,Sustantivos,
ATOMIC_FORM,moreno,6A,6A,Adjetivos,
ATOMIC_FORM,mucho,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,mujer,6A,6A,Sustantivos,
ATOMIC_FORM,museo,6A,6A,Sustantivos,
ATOMIC_FORM,musulmán,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,muy,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,más,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,médico,6A,6A,Sustantivos,
ATOMIC_FORM,móvil,6A,6A,Sustantivos;Adjetivos/sustantivos,
ATOMIC_FORM,música,6A,6A,Sustantivos,
ATOMIC_FORM,nacionalidad,6A,6A,Sustantivos,
ATOMIC_FORM,nadar,6A,6A,Verbos,
ATOMIC_FORM,naranja,6B,6B,Adjetivos,
ATOMIC_FORM,nariz,6A,6A,Sustantivos,
ATOMIC_FORM,negro,6A,6A,Adjetivos,
ATOMIC_FORM,nevar,6A,6A,Verbos,
ATOMIC_FORM,ni,6D,6D,Conectores/subordinantes,
ATOMIC_FORM,nieto,6A,6A,Sustantivos,
ATOMIC_FORM,niño,6A,6A,Sustantivos,
ATOMIC_FORM,no,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,noche,6B,6B,Sustantivos,
ATOMIC_FORM,nombre,6A,6A,Sustantivos,
ATOMIC_FORM,normalmente,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,norte,6A,6A,Sustantivos,
ATOMIC_FORM,nosotras,6D,6D,Pronombres sujeto,
ATOMIC_FORM,nosotros,6D,6D,Pronombres sujeto,
ATOMIC_FORM,novena,6D,6D,Ordinal,
ATOMIC_FORM,noveno,6D,6D,Ordinal,
ATOMIC_FORM,novio,6A,6A,Sustantivos,
ATOMIC_FORM,nuestra,6D,6D,Posesivos,
ATOMIC_FORM,nuestras,6D,6D,Posesivos,
ATOMIC_FORM,nuestro,6D,6D,Posesivos,
ATOMIC_FORM,nuestros,6D,6D,Posesivos,
ATOMIC_FORM,nuevo,6A,6A,Adjetivos,
ATOMIC_FORM,nunca,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,número,6A,6A,Sustantivos,
ATOMIC_FORM,o,6C,6C,Funcionales,
ATOMIC_FORM,octava,6D,6D,Ordinal,
ATOMIC_FORM,octavo,6D,6D,Ordinal,
ATOMIC_FORM,oeste,6A,6A,Sustantivos,
ATOMIC_FORM,oficina,6A,6A,Sustantivos,
ATOMIC_FORM,ojo,6A,6A,Sustantivos,
ATOMIC_FORM,ordenador,6A,6A,Sustantivos,
ATOMIC_FORM,oscuro,6A,6A,Adjetivos,
ATOMIC_FORM,otoño,6A,6A,Sustantivos,
ATOMIC_FORM,padre,6A,6A,Sustantivos,
ATOMIC_FORM,paella,6A,6A,Sustantivos,
ATOMIC_FORM,pagar,6A,6A,Verbos,
ATOMIC_FORM,pan,6A,6A,Sustantivos,
ATOMIC_FORM,pantalón,6A,6A,Sustantivos,
ATOMIC_FORM,papel,6A,6A,Sustantivos,
ATOMIC_FORM,para,6C,6C,Funcionales,
ATOMIC_FORM,parada,6A,6A,Sustantivos,
ATOMIC_FORM,pareja,6A,6A,Sustantivos,
ATOMIC_FORM,parque,6A,6A,Sustantivos,
ATOMIC_FORM,pasaporte,6A,6A,Sustantivos,
ATOMIC_FORM,paseo,6A,6A,Sustantivos,
ATOMIC_FORM,país,6A,6A,Sustantivos,
ATOMIC_FORM,pelo,6A,6A,Sustantivos,
ATOMIC_FORM,película,6A,6A,Sustantivos,
ATOMIC_FORM,pequeño,6A,6A,Adjetivos,
ATOMIC_FORM,perdón,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,periódico,6A,6A,Sustantivos,
ATOMIC_FORM,pero,6C,6C,Funcionales,
ATOMIC_FORM,pescado,6A,6A,Sustantivos,
ATOMIC_FORM,piso,6A,6A,Sustantivos,
ATOMIC_FORM,pizarra,6A,6A,Sustantivos,
ATOMIC_FORM,plano,6A,6A,Sustantivos,
ATOMIC_FORM,planta,6A,6A,Sustantivos,
ATOMIC_FORM,playa,6A,6A,Sustantivos,
ATOMIC_FORM,plaza,6A,6A,Sustantivos,
ATOMIC_FORM,poco,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,poder,6C,6C,Verbos,
ATOMIC_FORM,policía,6A,6A,Sustantivos,
ATOMIC_FORM,porque,6C,6C,Funcionales,
ATOMIC_FORM,posible,6B,6B,Adjetivos,
ATOMIC_FORM,postal,6A,6A,Sustantivos;Adjetivos/sustantivos,
ATOMIC_FORM,postre,6A,6A,Sustantivos,
ATOMIC_FORM,practicar,6A,6A,Verbos,
ATOMIC_FORM,precio,6A,6A,Sustantivos,
ATOMIC_FORM,preferir,6C,6C,Verbos,
ATOMIC_FORM,pregunta,6A,6A,Sustantivos,
ATOMIC_FORM,presidente,6A,6A,Sustantivos,
ATOMIC_FORM,primavera,6A,6A,Sustantivos,
ATOMIC_FORM,primera,6D,6D,Ordinal,
ATOMIC_FORM,primero,6D,6D,Ordinal,
ATOMIC_FORM,primo,6A,6A,Sustantivos,
ATOMIC_FORM,profesión,6A,6A,Sustantivos,
ATOMIC_FORM,profesor,6A,6A,Sustantivos,
ATOMIC_FORM,pronto,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,publicidad,6A,6A,Sustantivos,
ATOMIC_FORM,pueblo,6A,6A,Sustantivos,
ATOMIC_FORM,puerta,6A,6A,Sustantivos,
ATOMIC_FORM,puerto,6A,6A,Sustantivos,
ATOMIC_FORM,punto,6A,6A,Sustantivos,
ATOMIC_FORM,página,6A,6A,Sustantivos,
ATOMIC_FORM,que,6D,6D,Conectores/subordinantes,
ATOMIC_FORM,querer,6C,6C,Verbos,
ATOMIC_FORM,quinta,6D,6D,Ordinal,
ATOMIC_FORM,quinto,6D,6D,Ordinal,
ATOMIC_FORM,quiosco,6A,6A,Sustantivos,
ATOMIC_FORM,quizá,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,quizás,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,quién,6C,6C,Funcionales,
ATOMIC_FORM,qué,6C,6C,Funcionales,
ATOMIC_FORM,radio,6A,6A,Sustantivos,
ATOMIC_FORM,regular,6B,6B,Adjetivos,
ATOMIC_FORM,reina,6A,6A,Sustantivos,
ATOMIC_FORM,religión,6A,6A,Sustantivos,
ATOMIC_FORM,reloj,6A,6A,Sustantivos,
ATOMIC_FORM,repetir,6A,6A,Verbos,
ATOMIC_FORM,restaurante,6A,6A,Sustantivos,
ATOMIC_FORM,revista,6A,6A,Sustantivos,
ATOMIC_FORM,rey,6A,6A,Sustantivos,
ATOMIC_FORM,rojo,6B,6B,Adjetivos,
ATOMIC_FORM,rubio,6A,6A,Adjetivos,
ATOMIC_FORM,rápido,6B,6B,Adjetivos,
ATOMIC_FORM,río,6A,6A,Sustantivos,
ATOMIC_FORM,saber,6A,6A,Verbos,
ATOMIC_FORM,sala,6A,6A,Sustantivos,
ATOMIC_FORM,salida,6A,6A,Sustantivos,
ATOMIC_FORM,salir,6B,6B,Verbos,
ATOMIC_FORM,salud,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
