story_id,module_id,module_name,island_id,global_island_order,island_name,story_order,story_title,story_role,scenario_brief,communicative_goal,genre_focus,planned_input_mode,first_intro_target_count,focus_first_intro_count,supported_first_intro_count,first_return_in_count,second_return_in_count,third_return_in_count,regional_receptive_return_in_count,new_target_policy,task_demand,known_token_coverage_policy,mastery_policy,status,notes,scheduled_relation_count,focus_guardrail,is_island_checkpoint,is_module_checkpoint,is_final_transfer_story,authoring_policy,dele_task_ids,required_modalities,revision_reason
A1-M03-I05-S2,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I05,4,Tiempo y rutina,2,Un día normal,NARRATIVE,Secuencia cotidiana de actividades.,Expresar acciones rutinarias y orden temporal.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,18,18,0,37,24,45,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",124,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M03-I05-S3,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I05,4,Tiempo y rutina,3,Hoy cambia el horario,NARRATIVE,Cambio de agenda respecto de la rutina.,"Integrar horario, agenda y rutina en una situación no habitual.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,36,18,18,18,37,49,2,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",140,PASS,YES,NO,NO,STANDARD,DELE-A1-R2,READING,A1_RESTRUCTURE_103_TO_32
A1-M03-I06-S1,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I06,5,Aula y habilidades,1,En clase,NARRATIVE,Interacción guiada de aula.,"Comprender instrucciones, pedir permiso/ayuda y responder.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,44,15,29,36,18,49,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",147,PASS,NO,NO,NO,STANDARD,DELE-A1-R2,READING,A1_RESTRUCTURE_103_TO_32
A1-M03-I06-S2,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I06,5,Aula y habilidades,2,¿Sabes hacerlo?,NARRATIVE,Mini entrevista de habilidades.,Preguntar y expresar habilidades básicas.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,11,6,5,44,36,0,2,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",91,PASS,YES,YES,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M04-I05-S1,M04,"Ciudad, servicios y desplazamientos",A1-M04-I05,6,Moverse por la ciudad,1,En el centro,NARRATIVE,Localización de lugares en una zona urbana.,Comprender lugares y relaciones espaciales.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,39,20,19,11,44,37,4,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",131,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M04-I05-S2,M04,"Ciudad, servicios y desplazamientos",A1-M04-I05,6,Moverse por la ciudad,2,Cómo llegar,NARRATIVE,Ruta sencilla entre dos puntos.,Comprender y dar direcciones y medios de transporte.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,30,15,15,39,11,36,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",116,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M04-I05-S3,M04,"Ciudad, servicios y desplazamientos",A1-M04-I05,6,Moverse por la ciudad,3,Necesito información,NARRATIVE,Interacción breve en un servicio.,Pedir ayuda e información para resolver una necesidad.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,24,12,12,30,39,24,4,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",117,PASS,NO,NO,NO,STANDARD,DELE-A1-R4;DELE-A1-L2,LISTENING;READING,A1_RESTRUCTURE_103_TO_32
A1-M04-I05-S4,M04,"Ciudad, servicios y desplazamientos",A1-M04-I05,6,Moverse por la ciudad,4,Llegar a tiempo,NARRATIVE,Elección de trayecto con billetes y horarios.,Comprender horarios/estaciones y elegir un desplazamiento.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,29,15,14,24,30,29,7,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",112,PASS,YES,YES,NO,STANDARD,DELE-A1-R2;DELE-A1-R4;DELE-A1-L2,LISTENING;READING,A1_RESTRUCTURE_103_TO_32
A1-M05-I05-S1,M05,"Comer, comprar y pedir",A1-M05-I05,7,"Comer, comprar y elegir",1,¿Qué comemos?,NARRATIVE,Decisión cotidiana sobre comida y bebida.,"Identificar alimentos, cantidades y deseos inmediatos.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,38,19,19,29,24,39,3,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",130,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M05-I05-S2,M05,"Comer, comprar y pedir",A1-M05-I05,7,"Comer, comprar y elegir",2,En el restaurante,NARRATIVE,Pedido básico a personal de servicio.,Pedir comida/objetos y manejar fórmulas de servicio.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,22,11,11,38,29,44,3,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",133,PASS,NO,NO,NO,STANDARD,DELE-A1-L1;DELE-A1-L4,LISTENING,A1_RESTRUCTURE_103_TO_32
A1-M05-I05-S3,M05,"Comer, comprar y pedir",A1-M05-I05,7,"Comer, comprar y elegir",3,La compra con problema,NARRATIVE,"Transacción multiescena con precio, pago y corrección.","Comparar, elegir, pagar, rechazar/corregir y resolver una compra.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,58,19,39,22,38,24,3,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",142,PASS,YES,YES,NO,AUTHORING_SEGMENTATION_REQUIRED,,,A1_RESTRUCTURE_103_TO_32
A1-M06-I05-S1,M06,"Ocio, gustos y vida social",A1-M06-I05,8,Un fin de semana con amigos,1,¿Qué te gusta?,NARRATIVE,Conversación/encuesta sobre gustos.,"Expresar gustos, intereses y preferencias.",story; dialogue; task; functional text as scenario requires,READ+LISTEN+TASK_INTERACTION,24,12,12,58,22,0,2,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",104,PASS,NO,NO,NO,STANDARD,DELE-A1-O2,SPEAKING,A1_RESTRUCTURE_103_TO_32
A1-M06-I05-S2,M06,"Ocio, gustos y vida social",A1-M06-I05,8,Un fin de semana con amigos,2,Después de clase,NARRATIVE,Elección de actividades de ocio.,"Hablar de ocio, música, deporte, lectura y medios.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,32,16,16,24,58,0,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",114,PASS,NO,NO,NO,STANDARD,DELE-A1-R3,READING,A1_RESTRUCTURE_103_TO_32
A1-M06-I05-S3,M06,"Ocio, gustos y vida social",A1-M06-I05,8,Un fin de semana con amigos,3,El cumpleaños del sábado,NARRATIVE,Invitación y evento social personal.,"Invitar, aceptar/rechazar y usar fórmulas sociales.",story; dialogue; task; functional text as scenario requires,READ+LISTEN+TASK_WRITING,36,8,28,32,24,52,5,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",144,PASS,YES,YES,NO,STANDARD,DELE-A1-R1;DELE-A1-L4;DELE-A1-W2,LISTENING;READING;WRITING,A1_RESTRUCTURE_103_TO_32
A1-M07-I05-S1,M07,"Viajes, alojamiento, clima y planes",A1-M07-I05,9,Preparar un viaje,1,Viaje en tren,NARRATIVE,"Desplazamiento con origen, destino y medio.",Planificar un trayecto y elegir transporte.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,27,14,13,36,32,58,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",153,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M07-I05-S2,M07,"Viajes, alojamiento, clima y planes",A1-M07-I05,9,Preparar un viaje,2,Buscar hotel,NARRATIVE,Búsqueda y elección de alojamiento.,Pedir/comprender información sobre habitación y servicios.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,23,12,11,27,36,53,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",139,PASS,NO,NO,NO,STANDARD,DELE-A1-R3,READING,A1_RESTRUCTURE_103_TO_32
A1-M07-I05-S3,M07,"Viajes, alojamiento, clima y planes",A1-M07-I05,9,Preparar un viaje,3,Mañana cambia el plan,NARRATIVE,Cambio de plan condicionado por clima o disponibilidad.,"Integrar clima, posibilidad y planes próximos.",story; dialogue; task; functional text as scenario requires,READ+LISTEN+TASK_WRITING,43,12,31,23,27,70,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",163,PASS,YES,YES,NO,STANDARD,DELE-A1-R1;DELE-A1-W2,READING;WRITING,A1_RESTRUCTURE_103_TO_32
A1-M08-I05-S1,M08,"Opinión, información e integración A1",A1-M08-I05,10,Opinar y responder,1,¿Qué opinas?,NARRATIVE,Intercambio de opinión sobre contenido conocido.,Pedir y dar opiniones y valoraciones elementales.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,31,16,15,43,23,36,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",133,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M08-I05-S2,M08,"Opinión, información e integración A1",A1-M08-I05,10,Opinar y responder,2,"Sí, pero...",NARRATIVE,"Respuesta con acuerdo, contraste o duda.","Expresar acuerdo/desacuerdo, certeza, duda y contraste.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,35,18,17,31,43,27,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",136,PASS,YES,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M08-I06-S1,M08,"Opinión, información e integración A1",A1-M08-I06,11,Información e integración A1,1,Una ficha del mundo hispano,NARRATIVE,Ficha cultural o pública con demanda lingüística A1.,Comprender información básica sin convertir referentes en léxico A1 automático.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,18,18,0,35,31,23,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",107,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M08-I06-S2,M08,"Opinión, información e integración A1",A1-M08-I06,11,Información e integración A1,2,"Otra ciudad, otra información",NARRATIVE,"Variación de referente, género y soporte informativo.",Transferir comprensión de información pública/cultural a otro soporte.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,35,18,17,18,35,74,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",162,PASS,NO,NO,NO,STANDARD,DELE-A1-R3;DELE-A1-L3,LISTENING;READING,A1_RESTRUCTURE_103_TO_32
A1-M08-I06-S3,M08,"Opinión, información e integración A1",A1-M08-I06,11,Información e integración A1,3,"Capstone: llegar, resolver y contar",CAPSTONE,Secuencia multimodal acumulativa de cierre A1.,"Integrar lectura, escucha, interacción y escritura breve con repertorio acumulado.",story; dialogue; task; functional text as scenario requires,READ+LISTEN+TASK_INTERACTION,0,0,0,35,18,35,0,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",88,PASS,YES,YES,YES,STANDARD,DELE-A1-O3,SPEAKING,A1_RESTRUCTURE_103_TO_32
