audit_id,record_type,category,control,expected,observed,status,blocking,evidence,correction,notes,mapped_story_ids
SEQ16D-016,AUDIT_CONTROL,GRAPH,Targets with exactly 3 recycle edges,985/985,985/985,PASS,NO,,,,
SEQ16D-017,AUDIT_CONTROL,GRAPH,Backward/cyclic story edges,0,0,PASS,NO,,,,
SEQ16D-018,AUDIT_CONTROL,GRAPH,Route-order violations intro<local<near<third,0,0,PASS,NO,,,,
SEQ16D-019,AUDIT_CONTROL,MODE,Regional receptive targets,16,16,PASS,NO,,,,
SEQ16D-020,AUDIT_CONTROL,MODE,Regional edges with universal productive demand,0,0,PASS,NO,,,,
SEQ16D-021,AUDIT_CONTROL,MASTERY,Recycle edges claiming mastery,0,0,PASS,NO,,,,
SEQ16D-022,AUDIT_CONTROL,LOAD,Maximum scheduled object-relations in one blueprint,informational,73,PASS,NO,,,Not a direct lexical-token burden: one occurrence can satisfy multiple Sense/Grammar/MWU relations.,
SEQ16D-023,AUDIT_CONTROL,LOAD,Median scheduled object-relations per blueprint,informational,36,PASS,NO,,,Informational only; no universal threshold imposed.,
SEQ16D-024,AUDIT_CONTROL,READINESS,Sequence blockers,0,0,PASS,NO,,,,
SEQ16D-025,AUDIT_CONTROL,READINESS,FINAL_SEQUENCE_READY,YES,YES,PASS,NO,,,,
SEQ16D-DELE-01,DELE_TASK_CROSSWALK,DELE,DELE-A1-R1 — Correspondencia breve personal,>=1 compatible blueprint,2 compatible blueprint(s),PASS,NO,Task modality=READING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M06-I04-S3;A1-M07-I04-S3
SEQ16D-DELE-02,DELE_TASK_CROSSWALK,DELE,DELE-A1-R2 — Textos funcionales mínimos,>=1 compatible blueprint,3 compatible blueprint(s),PASS,NO,Task modality=READING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M03-I01-S4;A1-M04-I04-S3;A1-M03-I03-S4
SEQ16D-DELE-03,DELE_TASK_CROSSWALK,DELE,DELE-A1-R3 — Material informativo/promocional,>=1 compatible blueprint,3 compatible blueprint(s),PASS,NO,Task modality=READING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M07-I02-S3;A1-M06-I02-S3;A1-M08-I03-S4
SEQ16D-DELE-04,DELE_TASK_CROSSWALK,DELE,DELE-A1-R4 — Información pública concreta,>=1 compatible blueprint,2 compatible blueprint(s),PASS,NO,Task modality=READING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M04-I04-S3;A1-M04-I03-S3
SEQ16D-DELE-05,DELE_TASK_CROSSWALK,DELE,DELE-A1-L1 — Diálogos muy breves,>=1 compatible blueprint,2 compatible blueprint(s),PASS,NO,Task modality=LISTENING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M01-I01-S3;A1-M05-I02-S3
SEQ16D-DELE-06,DELE_TASK_CROSSWALK,DELE,DELE-A1-L2 — Mensajes/avisos públicos,>=1 compatible blueprint,2 compatible blueprint(s),PASS,NO,Task modality=LISTENING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M04-I03-S3;A1-M04-I04-S3
SEQ16D-DELE-07,DELE_TASK_CROSSWALK,DELE,DELE-A1-L3 — Monólogo segmentado,>=1 compatible blueprint,2 compatible blueprint(s),PASS,NO,Task modality=LISTENING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M02-I02-S4;A1-M08-I03-S4
SEQ16D-DELE-08,DELE_TASK_CROSSWALK,DELE,DELE-A1-L4 — Conversación cotidiana,>=1 compatible blueprint,2 compatible blueprint(s),PASS,NO,Task modality=LISTENING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M06-I03-S3;A1-M05-I02-S3
SEQ16D-DELE-09,DELE_TASK_CROSSWALK,DELE,DELE-A1-W1 — Formulario,>=1 compatible blueprint,1 compatible blueprint(s),PASS,NO,Task modality=WRITING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M01-I03-S4
SEQ16D-DELE-10,DELE_TASK_CROSSWALK,DELE,DELE-A1-W2 — Correspondencia breve,>=1 compatible blueprint,2 compatible blueprint(s),PASS,NO,Task modality=WRITING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M06-I04-S3;A1-M07-I04-S3
SEQ16D-DELE-11,DELE_TASK_CROSSWALK,DELE,DELE-A1-O1 — Presentación personal preparada,>=1 compatible blueprint,1 compatible blueprint(s),PASS,NO,Task modality=SPEAKING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M01-I02-S3
SEQ16D-DELE-12,DELE_TASK_CROSSWALK,DELE,DELE-A1-O2 — Tema personal próximo preparado,>=1 compatible blueprint,1 compatible blueprint(s),PASS,NO,Task modality=SPEAKING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M06-I01-S3
SEQ16D-DELE-13,DELE_TASK_CROSSWALK,DELE,DELE-A1-O3 — Conversación guiada,>=1 compatible blueprint,1 compatible blueprint(s),PASS,NO,Task modality=SPEAKING; SpanishStories blueprint mapping,,Task-structure coverage only; not DELE content reuse and not a lexical/grammar level assertion.,A1-M08-I04-S3
