record_id,record_type,workstream_id,source_id,source_version,test_id,task_id,test_name,task_number,modality,receptive_productive,capacity_normalized,candidate_action_normalized,input_or_product_type,domain,input_or_output_extent,item_count,response_format,visual_support,preparation,duration,linked_cefr,linked_pcic_genres,linked_functions,curricular_interpretation,lexical_level_effect,baseline_action,source_location,source_url,rights_status,notes,curriculum_version
DELEWS-011,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P2,DELE-A1-L3,Comprensión auditiva,3,LISTENING,RECEPTIVE,Comprender idea general y datos concretos de enunciados cotidianos breves.,Escuchar enunciados de un mismo monólogo y completar relaciones de frase.,enunciados explicativos/descriptivos de un monólogo,personal,15-25 palabras por enunciado,8,matching sentence beginnings and endings,NO,,within 25-min listening test,CEFR-A1-001; CEFR-A1-005,,comprender descripción/información cotidiana,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.2,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-012,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P2,DELE-A1-L4,Comprensión auditiva,4,LISTENING,RECEPTIVE,"Reconocer nombres, palabras o frases dentro de una conversación lenta y clara.",Escuchar una conversación y completar enunciados breves con información del texto.,conversación de dos interlocutores sobre temas conocidos,personal,160-185 palabras,7,information completion,NO,,within 25-min listening test,CEFR-A1-001; CEFR-A1-002,GEN8B-001,intercambiar/comprender información cotidiana,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.2,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-013,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P3,DELE-A1-W1,Expresión e interacción escritas,1,WRITING,PRODUCTIVE_INTERACTIVE,Proporcionar por escrito datos personales básicos y del entorno inmediato.,Completar un formulario con respuestas breves.,formulario,público,producción 15-25 palabras,,short-answer form completion,FORM_LAYOUT,,within 25-min writing test,CEFR-A1-029; CEFR-A1-031,GEN8B-006,dar información personal,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.3,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-014,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P3,DELE-A1-W2,Expresión e interacción escritas,2,WRITING,PRODUCTIVE_INTERACTIVE,Intercambiar mensajes de cortesía e información personal o de necesidad inmediata.,Redactar un texto epistolar muy breve.,postal; correo electrónico; mensaje; carta breve,personal; público,producción 30-40 palabras,,short written message,NO,,within 25-min writing test,CEFR-A1-030; CEFR-A1-029,GEN8B-011,saludar; despedirse; cortesía; información personal,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.3,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-015,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P4,DELE-A1-S1,Expresión e interacción orales,1,SPEAKING,PRODUCTIVE_INTERACTIVE,Presentarse y proporcionar datos básicos de identidad.,Realizar un monólogo breve preparado sobre identidad personal.,lámina con instrucciones y estímulos verbales,personal,producción oral,,prepared monologue,PROMPT_CARD,YES,1-2 min,CEFR-A1-014; CEFR-A1-015,,presentarse; dar datos personales,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-016,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P4,DELE-A1-S2,Expresión e interacción orales,2,SPEAKING,PRODUCTIVE_INTERACTIVE,Dar información muy básica sobre sí mismo y el entorno inmediato.,Realizar un monólogo breve preparado sobre un tema personal cercano.,lámina con estímulos sobre varios aspectos de un tema,personal,producción oral,,prepared monologue,PROMPT_CARD,YES,2-3 min,CEFR-A1-014; CEFR-A1-015,,describir; informar sobre vida cotidiana,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-017,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P4,DELE-A1-S3,Expresión e interacción orales,3,SPEAKING,PRODUCTIVE_INTERACTIVE,Participar en una conversación breve con un interlocutor cooperativo.,Conversar sobre información de tareas anteriores y formular dos preguntas.,instrucciones + preguntas del entrevistador,personal,producción oral interactiva,,guided conversation + candidate questions,NO,NO,3-4 min,CEFR-A1-021; CEFR-A1-023; CEFR-A1-027,GEN8B-001,conversar; preguntar; responder; intercambiar información,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-018,SCORING_GROUP,WS-DELE-TASKS,DELE-01;DELE-04,2020 vigente,G1,,Grupo 1,,READING+WRITING,MIXED,Combined reading and written production/interaction certification group.,,,,,,P1 25 points + P3 25 points,,,70 min combined test time,,,,ASSESSMENT_ARCHITECTURE_ONLY,NONE,NO_CHANGE,DELE guide / current portal,https://examenes.cervantes.es/es/node/265480,REFERENCE_ONLY,Minimum 30/50 in group required for APTO.,1.29
DELEWS-019,SCORING_GROUP,WS-DELE-TASKS,DELE-01;DELE-04,2020 vigente,G2,,Grupo 2,,LISTENING+SPEAKING,MIXED,Combined listening and oral production/interaction certification group.,,,,,,P2 25 points + P4 25 points,,,35 min test time + oral preparation,,,,ASSESSMENT_ARCHITECTURE_ONLY,NONE,NO_CHANGE,DELE guide / current portal,https://examenes.cervantes.es/es/node/265480,REFERENCE_ONLY,Minimum 30/50 in group required for APTO.,1.29
DELEWS-020,SCORING_RULE,WS-DELE-TASKS,DELE-01;DELE-04,2020 vigente,GLOBAL,,Global certification,,,,"Certification requires passing both scoring groups, not merely a high overall aggregate.",,,,,,Maximum 100 points,,,,,,,DO_NOT_USE_AS_MASTERY_THRESHOLD_FOR_SPANISHSTORIES,NONE,NO_CHANGE,Current DELE portal / guide,https://examenes.cervantes.es/es/node/265480,REFERENCE_ONLY,APTO requires >=30 points in each 50-point group.,1.29
DELEWS-021,CROSS_LAYER_RULE,WS-DELE-TASKS,DELE-01;DELE-02;DELE-05,2020/current,,DELE_TASK_NOT_LEVEL_AUTHORITY,,,,,,,,,,,,,,,,,,DELE_TASK_NOT_LEVEL_AUTHORITY,NONE,NO_CHANGE,DELE A1 portal/specifications,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,OWN_ABSTRACTION,"A DELE task operationalizes an A1 performance; it does not independently assign Spanish words, grammar points or MWUs to A1.",1.29
DELEWS-022,CROSS_LAYER_RULE,WS-DELE-TASKS,DELE-01;DELE-02;DELE-05,2020/current,,EXAM_FORMAT_NOT_METHODOLOGY,,,,,,,,,,,,,,,,,,EXAM_FORMAT_NOT_METHODOLOGY,NONE,NO_CHANGE,DELE A1 portal/specifications,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,OWN_ABSTRACTION,"Multiple choice, matching, timing and answer-sheet mechanics are exam design, not mandatory teaching methodology.",1.29
DELEWS-023,CROSS_LAYER_RULE,WS-DELE-TASKS,DELE-01;DELE-02;DELE-05,2020/current,,MODEL0_NOT_CONTENT_BANK,,,,,,,,,,,,,,,,,,MODEL0_NOT_CONTENT_BANK,NONE,NO_CHANGE,DELE A1 portal/specifications,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,OWN_ABSTRACTION,"Model 0 validates task format only; its passages, prompts, images, audios and answers are not reusable SpanishStories content.",1.29
DELEWS-024,CROSS_LAYER_RULE,WS-DELE-TASKS,DELE-01;DELE-02;DELE-05,2020/current,,TASK_TEXT_TYPE_CAN_VALIDATE_GENRE,,,,,,,,,,,,,,,,,,TASK_TEXT_TYPE_CAN_VALIDATE_GENRE,NONE,NO_CHANGE,DELE A1 portal/specifications,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,OWN_ABSTRACTION,"Repeated task text types may corroborate PCIC/CEFR genre coverage, but do not expand the genre inventory by themselves.",1.29
DELEWS-025,CROSS_LAYER_RULE,WS-DELE-TASKS,DELE-01;DELE-02;DELE-05,2020/current,,RECEPTIVE_TASK_NOT_PRODUCTIVE_REQUIREMENT,,,,,,,,,,,,,,,,,,RECEPTIVE_TASK_NOT_PRODUCTIVE_REQUIREMENT,NONE,NO_CHANGE,DELE A1 portal/specifications,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,OWN_ABSTRACTION,A text type appearing in reading/listening does not imply the learner must produce that genre at A1.,1.29
DELEWS-026,CROSS_LAYER_RULE,WS-DELE-TASKS,DELE-01;DELE-02;DELE-05,2020/current,,EXAM_LENGTH_NOT_STORY_LENGTH,,,,,,,,,,,,,,,,,,EXAM_LENGTH_NOT_STORY_LENGTH,NONE,NO_CHANGE,DELE A1 portal/specifications,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,OWN_ABSTRACTION,DELE input/output lengths are task specifications; they are not default length limits for SpanishStories stories.,1.29
DELEWS-027,CROSS_LAYER_RULE,WS-DELE-TASKS,DELE-01;DELE-02;DELE-05,2020/current,,COOPERATIVE_INTERLOCUTOR_IS_LEVEL_CONDITION,,,,,,,,,,,,,,,,,,COOPERATIVE_INTERLOCUTOR_IS_LEVEL_CONDITION,NONE,NO_CHANGE,DELE A1 portal/specifications,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,OWN_ABSTRACTION,The oral interaction profile preserves the A1 condition of a cooperative interlocutor.,1.29
DELEWS-028,CROSS_LAYER_RULE,WS-DELE-TASKS,DELE-01;DELE-02;DELE-05,2020/current,,AGE_VARIANT_NOT_NEW_LEVEL,,,,,,,,,,,,,,,,,,AGE_VARIANT_NOT_NEW_LEVEL,NONE,NO_CHANGE,DELE A1 portal/specifications,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,OWN_ABSTRACTION,"DELE A1 para escolares preserves the A1 structure while adapting contexts to ages 11-17; it is a contextual variant, not a separate level.",1.29
DELEWS-029,TASK_FAMILY_AGGREGATE,WS-DELE-TASKS,DELE-02,2020 vigente,,READ_SPECIFIC_INFO,Reading: locate specific information,,,,,,,,,,,,,,CEFR-A1-009; CEFR-A1-011,GEN8B-003; GEN8B-004; GEN8B-008; GEN8B-010,,CROSS_LAYER_COVERAGE_SIGNAL,NONE,NO_CHANGE,DELE-02 pp.1-4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,OWN_ABSTRACTION,Tasks: DELE-A1-R2; DELE-A1-R4,1.29
DELEWS-030,TASK_FAMILY_AGGREGATE,WS-DELE-TASKS,DELE-02,2020 vigente,,READ_GENERAL_MEANING,Reading: understand general meaning,,,,,,,,,,,,,,CEFR-A1-007; CEFR-A1-008; CEFR-A1-010,GEN8B-007; GEN8B-011,,CROSS_LAYER_COVERAGE_SIGNAL,NONE,NO_CHANGE,DELE-02 pp.1-4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,OWN_ABSTRACTION,Tasks: DELE-A1-R1; DELE-A1-R3,1.29
DELEWS-031,TASK_FAMILY_AGGREGATE,WS-DELE-TASKS,DELE-02,2020 vigente,,LISTEN_GENERAL_SPECIFIC,Listening: general meaning + concrete details,,,,,,,,,,,,,,CEFR-A1-001; CEFR-A1-002; CEFR-A1-005,GEN8B-001,,CROSS_LAYER_COVERAGE_SIGNAL,NONE,NO_CHANGE,DELE-02 pp.1-4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,OWN_ABSTRACTION,Tasks: DELE-A1-L1; DELE-A1-L3; DELE-A1-L4,1.29
DELEWS-032,TASK_FAMILY_AGGREGATE,WS-DELE-TASKS,DELE-02,2020 vigente,,LISTEN_PUBLIC_MESSAGES,Listening: public messages/announcements,,,,,,,,,,,,,,CEFR-A1-004; CEFR-A1-005,,,CROSS_LAYER_COVERAGE_SIGNAL,NONE,NO_CHANGE,DELE-02 pp.1-4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,OWN_ABSTRACTION,Tasks: DELE-A1-L2,1.29
DELEWS-033,TASK_FAMILY_AGGREGATE,WS-DELE-TASKS,DELE-02,2020 vigente,,WRITE_PERSONAL_DATA,Writing: personal-data form,,,,,,,,,,,,,,CEFR-A1-029; CEFR-A1-031,GEN8B-006,,CROSS_LAYER_COVERAGE_SIGNAL,NONE,NO_CHANGE,DELE-02 pp.1-4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,OWN_ABSTRACTION,Tasks: DELE-A1-W1,1.29
DELEWS-034,TASK_FAMILY_AGGREGATE,WS-DELE-TASKS,DELE-02,2020 vigente,,WRITE_SHORT_CORRESPONDENCE,Writing: short correspondence,,,,,,,,,,,,,,CEFR-A1-030,GEN8B-011,,CROSS_LAYER_COVERAGE_SIGNAL,NONE,NO_CHANGE,DELE-02 pp.1-4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,OWN_ABSTRACTION,Tasks: DELE-A1-W2,1.29
DELEWS-035,TASK_FAMILY_AGGREGATE,WS-DELE-TASKS,DELE-02,2020 vigente,,SPEAK_PREPARED_MONOLOGUE,Speaking: short prepared monologue,,,,,,,,,,,,,,CEFR-A1-014; CEFR-A1-015,,,CROSS_LAYER_COVERAGE_SIGNAL,NONE,NO_CHANGE,DELE-02 pp.1-4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,OWN_ABSTRACTION,Tasks: DELE-A1-S1; DELE-A1-S2,1.29
DELEWS-036,TASK_FAMILY_AGGREGATE,WS-DELE-TASKS,DELE-02,2020 vigente,,SPEAK_GUIDED_CONVERSATION,Speaking: guided cooperative conversation,,,,,,,,,,,,,,CEFR-A1-021; CEFR-A1-023; CEFR-A1-027,GEN8B-001,,CROSS_LAYER_COVERAGE_SIGNAL,NONE,NO_CHANGE,DELE-02 pp.1-4,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,OWN_ABSTRACTION,Tasks: DELE-A1-S3,1.29
