audit_id,record_type,workstream_id,layer,source_basis,grading_model,coverage_status,observed_count,expected_count,coverage_numerator,coverage_denominator,coverage_percent,severity,blocking_for_phase16,issue,decision,next_action,evidence_basis,notes
COV15-I11,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Discurso,PCIC-07 + CEFR,EXPLICIT_A1_WITH_NEGATIVE_BOUNDARY,COMPLETE_A1_WITH_NEGATIVE_BOUNDARY,3 A1 macrofunctions,3,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I12,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Pronunciación/prosodia,PCIC-03,STAGE_A_A1_A2_UNSPLIT,COMPLETE_SOURCE_STAGE_NOT_FALSE_A1,95 Stage-A items,95 Stage-A,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I13,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Ortografía,PCIC-04 + CEFR,EXPLICIT_A1_A2,COMPLETE_A1,119 + 63 A2 boundaries,119,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I14,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Referentes culturales,PCIC-10,NON_CEFR_APPROXIMATION_POOL,COMPLETE_SOURCE_POOL_NON_GRADED,68 topics,68,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I15,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Sociocultural,PCIC-11 + CEFR,SPAIN_APPROXIMATION_POOL_PLUS_EXTERNAL_A1,COMPLETE_POOL_PLUS_A1_MINIMUM,129 + 8 A1 minimum,129,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I16,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Intercultural,PCIC-12 + CEFR,SINGLE_UNGRADED_LIST_PLUS_A1_CROSSWALK,COMPLETE_POOL_PLUS_A1_CROSSWALK,188 + 4 A1 anchors,188,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I17,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Autonomía/aprendizaje,PCIC-13,SINGLE_UNGRADED_LIST,COMPLETE_SOURCE_POOL_NON_GRADED,106 + 12 non-normative toolkit,106,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I18,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,DELE/tareas,DELE-01..05,CERTIFICATION_TASK_OPERATIONALIZATION,COMPLETE,13 tasks,13,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I19,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Ciencia curricular,SCI-01..32,EVIDENCE_TO_DECISION_RULE,COMPLETE,15 decision rules,15,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I20,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Normalización maestra,Phase14 v1.37,LEXEME_SENSE_FORM,COMPLETE,599 Lexemes / 608 Sense registry / 666 Forms,complete registry,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I21,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,FrequencyWords unigram,CORP-18,CORPUS_FREQUENCY_NOT_LEVEL,PARTIAL_HIGH_COVERAGE,593/602 source surfaces; 548/555 normalized atomic Lexemes,independent sources still pending,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I22,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Frecuencia multifuente,CORP-10/11/17 + MWU corpora,CORPUS_AND_L2_EXPOSURE,INCOMPLETE_ENRICHMENT,OpenSLR/Leipzig/ELELex/MWU pending,not a level authority,,,,MEDIUM,NO,,,,Curriculum master v1.37 §§63–71,
COV15-L01,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,Lexeme IDs,v1.37 registry,IDENTITY_REGISTRY,PASS,599 unique,599 unique,599,599,100.0,NONE,NO,,,,v1.37 normalization CSV,
COV15-L02,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,Sense IDs,v1.37 registry,IDENTITY_REGISTRY,PASS,608 unique,608 unique,608,608,100.0,NONE,NO,,,,v1.37 normalization CSV,
COV15-L03,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,LexemeForm IDs,v1.37 registry,IDENTITY_REGISTRY,PASS,666 unique,666 unique,666,666,100.0,NONE,NO,,,,v1.37 normalization CSV,
COV15-L04,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,Orphan Senses,v1.37 registry,FOREIGN_KEY_AUDIT,PASS,0,0,,,,NONE,NO,,,,All Sense.lexeme_id resolve,
COV15-L05,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,Orphan Forms,v1.37 registry,FOREIGN_KEY_AUDIT,PASS,0,0,,,,NONE,NO,,,,All LexemeForm.lexeme_id resolve,
COV15-L06,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,Lexemes with >=1 A1 Sense,v1.37 registry,A1_MEMBERSHIP_AUDIT,PASS,599,599,599,599,100.0,NONE,NO,,,,583 core-bearing + 16 regional-only,
COV15-L07,LEXICAL_INTEGRITY,WS-COVERAGE-FINAL,A1 included Senses,v1.37 registry,A1_MEMBERSHIP_AUDIT,PASS,602,602,602,602,100.0,NONE,NO,,Define A1_SENSE_COUNT=602; SENSE_REGISTRY_COUNT remains 608.,,586 A1 core + 16 A1 regional receptive,
COV15-L08,LEXICAL_INTEGRITY,WS-COVERAGE-FINAL,A2 boundary Senses,v1.37 registry,BOUNDARY_AUDIT,PASS,6,6,6,6,100.0,NONE,NO,,Remain in registry but excluded from A1 requirement count.,,,
COV15-L09,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,Intentional homographic lemmas,v1.37 registry,HOMOGRAPHY_AUDIT,PASS,20 lemmas -> 40 Lexemes,20 documented surfaces,,,,NONE,NO,,,,Distinct Lexeme keys/POS,
COV15-L10,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,Explicit polysemous Lexemes,v1.37 registry,SENSE_SPLIT_AUDIT,PASS,9 Lexemes,9,9,9,100.0,NONE,NO,,,,"billete, café, demasiado, director, frío, iglesia, mujer, padre, presidente",
COV15-L11,LEXICAL_INTEGRITY,WS-NORMALIZATION-MASTER,MWU ontology,v1.37 registry,OBJECT_CLASS_AUDIT,PASS,214/214 classified,214,214,214,100.0,NONE,NO,,,,44 multiword Lexemes + 68 collocations + 77 constructions + 22 formulas + 3 discourse markers,
COV15-L12,LEXICAL_INTEGRITY,WS-FREQUENCY-UTILITY,FrequencyWords source-surface coverage,CORP-18,UNIGRAM_EXACT_SURFACE,PASS_HIGH_COVERAGE,593,602,593,602,98.5,LOW,NO,,,,,Absence from top50k is not zero and does not affect level.
COV15-L13,LEXICAL_INTEGRITY,WS-FREQUENCY-UTILITY,FrequencyWords normalized atomic-Lexeme coverage,CORP-18 + Phase14 canonicalization,AT_LEAST_ONE_PUBLISHED_FORM_MEASURED,PASS_HIGH_COVERAGE,548,555,548,555,98.74,LOW,NO,,,,,Internet uses the previously recorded exact canonical candidate after Phase14 canonicalization.
COV15-L14,LEXICAL_INTEGRITY,WS-FREQUENCY-UTILITY,Atomic Lexemes without usable exact FrequencyWords observation,CORP-18,UNIGRAM_GAP_REGISTER,OPEN_NONBLOCKING,7,555,7,555,1.26,LOW,NO,ahoy; arroba; campin; céntrico; DVD; guagua; parqueadero,,Leave nullable; recheck independent corpora; never infer zero or non-A1.,,
COV15-L15,LEXICAL_INTEGRITY,WS-FREQUENCY-UTILITY,MWU frequency coverage,CORP-18,UNIGRAM_NOT_APPLICABLE,OPEN_NONBLOCKING,0 directly measured,214,0,214,0.0,MEDIUM,NO,Unigram source cannot measure 214 source MWU/chunks.,,Use MWU-capable corpus/search; never sum component frequencies.,,
COV15-E01,EXCLUSION_AUDIT,WS-COVERAGE-FINAL,Named entity examples,Master policy,EXPLICIT_EXCLUSION,PASS,4,,,,,NONE,NO,,Outside Lexeme count by design,,Master invariants + Phase14 registry,
COV15-E02,EXCLUSION_AUDIT,WS-COVERAGE-FINAL,Abbreviations,Master policy,EXPLICIT_EXCLUSION,PASS,3,,,,,NONE,NO,,Outside the 602 atomic surface baseline by design,,Master invariants + Phase14 registry,
COV15-E03,EXCLUSION_AUDIT,WS-COVERAGE-FINAL,A2 Sense boundaries,Master policy,EXPLICIT_EXCLUSION,PASS,6,,,,,NONE,NO,,"Published only as negative boundary, not A1 requirement",,Master invariants + Phase14 registry,
COV15-E04,EXCLUSION_AUDIT,WS-COVERAGE-FINAL,Regional patterns,Master policy,EXPLICIT_EXCLUSION,PASS,2,,,,,NONE,NO,,Outside MWU_COUNT and Lexeme count,,Master invariants + Phase14 registry,
COV15-E05,EXCLUSION_AUDIT,WS-COVERAGE-FINAL,Non-lexeme MWU source units,Master policy,EXPLICIT_EXCLUSION,PASS,170,,,,,NONE,NO,,68 collocations + 77 constructions + 22 formulas + 3 discourse markers,,Master invariants + Phase14 registry,
COV15-E06,EXCLUSION_AUDIT,WS-COVERAGE-FINAL,Cultural referent examples,Master policy,EXPLICIT_EXCLUSION,PASS,unbounded examples,,,,,NONE,NO,,Do not become A1 Lexemes automatically,,Master invariants + Phase14 registry,
COV15-E07,EXCLUSION_AUDIT,WS-COVERAGE-FINAL,Orthographic example words,Master policy,EXPLICIT_EXCLUSION,PASS,unbounded examples,,,,,NONE,NO,,Do not become A1 Lexemes automatically,,Master invariants + Phase14 registry,
COV15-G01,OPEN_GAP,WS-COVERAGE-FINAL,Normalized SourceAssertion registry,Phase7G provenance + Phase14 v1.37,LEVEL_ON_SOURCE_ASSERTION,CLOSED_V1.40,608/608 Senses linked to published granular SourceAssertion records,608/608,,,,NONE,NO,,Phase 6 item-level provenance migrated to exact PCIC inventory families; derived regional assertions preserve exact A1 anchors.,None for curriculum closure; optional future HTML-fragment enrichment may be added without changing IDs.,Phase 6 audit ledger + v1.40 published SourceAssertions,
COV15-G02,OPEN_GAP,WS-COVERAGE-FINAL,Receptive vs productive expectation per A1 Sense,Curriculum invariants + v1.37 Sense registry,RECEPTIVE_NOT_PRODUCTIVE,CLOSED_V1.39,602/602 A1 Senses have explicit receptive/productive policy,602/602,,,,NONE,NO,,Receptive required for all included A1 Senses; productive obligation remains contextual/profile-bound unless explicitly specified.,None before sequencing.,Master RECEPTIVE != PRODUCTIVE; v1.37 Sense registry.,
COV15-G03,OPEN_GAP,WS-FREQUENCY-UTILITY,Independent quantitative sources,OpenSLR + Leipzig + ELELex,QUANTITATIVE_ENRICHMENT,OPEN_NONBLOCKING,Source/schema resolved; numeric ingestion pending,Independent written + L2 exposure measurements where available,,,,MEDIUM,NO,"OpenSLR binary ingest, Leipzig news/Wikipedia and ELELex numeric ingest remain pending.","Frequency is secondary metadata, not membership authority.",Resume when transport is available; preserve item × corpus observations.,Master §67,
COV15-G04,OPEN_GAP,WS-FREQUENCY-UTILITY,Geographic/register dispersion and communicative centrality,Planned corpus architecture,PRIORITY_ENRICHMENT,OPEN_NONBLOCKING,Partial/none,Optional priority dimensions,,,,MEDIUM,NO,No final normalized per-Lexeme dispersion/centrality score.,Do not synthesize a fake aggregate priority score.,Keep nullable through Phase16; curricular dependency precedes frequency.,Master §67,
COV15-G05,OPEN_GAP,WS-COVERAGE-FINAL,Product-clearable provenance,Phase7F/7G legal view,LEGAL_GOVERNANCE,OPEN_PRODUCT_RELEASE_BLOCKER_NOT_CURRICULUM_BLOCKER,0/816 main records previously certified product-clearable,Record-level clearance before redistribution of protected dataset material,,,,HIGH,NO,Curriculum research use != product redistribution.,Does not block curriculum sequencing; blocks assuming datasets are commercially redistributable.,Run separate legal/provenance clearance before product redistribution.,Master §57.11–57.13,
COV15-C01,INVARIANT_CHECK,WS-COVERAGE-FINAL,LEVEL_ON_SOURCE_ASSERTION,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,LEVEL_ON_SOURCE_ASSERTION fully materialized for normalized Senses.,,Curriculum master v1.37 + normalization registry,
COV15-C02,INVARIANT_CHECK,WS-COVERAGE-FINAL,NO_CROSS_INVENTORY_COUNT_INFLATION,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Culture/orthography/examples remain outside Lexeme counts.,,Curriculum master v1.37 + normalization registry,
COV15-C03,INVARIANT_CHECK,WS-COVERAGE-FINAL,MWU_COMPONENT_NOT_ATOMIZED,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,214 units classified without destructive atomization.,,Curriculum master v1.37 + normalization registry,
COV15-C04,INVARIANT_CHECK,WS-COVERAGE-FINAL,CEFR_EXAMPLE_NOT_LEXICAL_ASSERTION,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,No lexical membership derived from CEFR examples.,,Curriculum master v1.37 + normalization registry,
COV15-C05,INVARIANT_CHECK,WS-COVERAGE-FINAL,ORTHOGRAPHY_EXAMPLE_NOT_LEXICAL_ASSERTION,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Orthographic examples remain separate.,,Curriculum master v1.37 + normalization registry,
COV15-C06,INVARIANT_CHECK,WS-COVERAGE-FINAL,CULTURAL_REFERENT_NOT_LEXICAL_ASSERTION,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Cultural examples remain separate.,,Curriculum master v1.37 + normalization registry,
COV15-C07,INVARIANT_CHECK,WS-COVERAGE-FINAL,PCIC_NON_GRADED_NOT_A1,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Pronunciation/culture/intercultural/autonomy preserve source grading.,,Curriculum master v1.37 + normalization registry,
COV15-C08,INVARIANT_CHECK,WS-COVERAGE-FINAL,RECEPTIVE_NOT_PRODUCTIVE,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,602/602 A1 Senses have explicit mode policy; no universal productive assumption.,,Curriculum master v1.37 + normalization registry,
COV15-C09,INVARIANT_CHECK,WS-COVERAGE-FINAL,REGIONAL_VARIANT_SENSE_LEVEL,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Regional-only Lexemes/Senses explicit.,,Curriculum master v1.37 + normalization registry,
COV15-C10,INVARIANT_CHECK,WS-COVERAGE-FINAL,COGNATE_NOT_LEVEL,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Cognation remains metadata.,,Curriculum master v1.37 + normalization registry,
COV15-C11,INVARIANT_CHECK,WS-COVERAGE-FINAL,RESEARCH_VIEW_NOT_PRODUCT_VIEW,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Legal/product view distinct.,,Curriculum master v1.37 + normalization registry,
COV15-C12,INVARIANT_CHECK,WS-COVERAGE-FINAL,FUNCTION_PENDING_ZERO,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Function crossrefs closed.,,Curriculum master v1.37 + normalization registry,
COV15-C13,INVARIANT_CHECK,WS-COVERAGE-FINAL,PHONOLOGY_STAGE_A_UNSPLIT,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,95 Stage-A items not relabeled exact A1.,,Curriculum master v1.37 + normalization registry,
COV15-C14,INVARIANT_CHECK,WS-COVERAGE-FINAL,CULTURE_GEOGRAPHIC_SCOPE,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,PCIC-11 Spain scope explicit.,,Curriculum master v1.37 + normalization registry,
COV15-C15,INVARIANT_CHECK,WS-COVERAGE-FINAL,PHASE_NUMBER_NOT_IDENTITY,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Stable workstream IDs retained.,,Curriculum master v1.37 + normalization registry,
COV15-C16,INVARIANT_CHECK,WS-COVERAGE-FINAL,FREQUENCY_NOT_LEVEL,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Frequency gaps do not alter membership.,,Curriculum master v1.37 + normalization registry,
COV15-C17,INVARIANT_CHECK,WS-COVERAGE-FINAL,EXPOSURE_NOT_MASTERY,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Scientific rules preserve distinction.,,Curriculum master v1.37 + normalization registry,
COV15-C18,INVARIANT_CHECK,WS-COVERAGE-FINAL,SCIENTIFIC_EVIDENCE_NOT_LEVEL,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,Science does not assign level.,,Curriculum master v1.37 + normalization registry,
COV15-C19,INVARIANT_CHECK,WS-COVERAGE-FINAL,SENSE_REGISTRY_COUNT_NOT_A1_SENSE_COUNT,Master invariants + v1.37,CROSS_LAYER_VALIDATION,PASS,,,,,,NONE,NO,,608 registry Senses separated from 602 A1 Senses.,,Curriculum master v1.37 + normalization registry,
COV15-R01,READINESS_GATE,WS-DELE-TASKS,DELE task operationalization,DELE-01..05,GATE,PASS,13/13 tasks,complete,,,,NONE,NO,,,,,
COV15-R02,READINESS_GATE,WS-SCIENCE-CURRICULAR,Scientific decision rules,SCI-01..32,GATE,PASS,15 rules,complete,,,,NONE,NO,,,,,
COV15-R03,READINESS_GATE,WS-NORMALIZATION-MASTER,Canonical identity registry,v1.37,GATE,PASS,599/608/666,complete,,,,NONE,NO,,,,,
COV15-R04,READINESS_GATE,WS-COVERAGE-FINAL,Final machine-auditable coverage,v1.38 audit,GATE,PASS,0 curriculum-blocking coverage gaps,0 blocking gaps,,,,NONE,NO,,WS-COVERAGE-FINAL passes final readiness.,Proceed to Phase 16 sequencing.,,
COV15-R05,READINESS_GATE,WS-SEQUENCING,Final module/island sequencing,Phase16,GATE,AUTHORIZED,Phase15 curriculum blockers = 0,Phase15 blockers = 0,,,,NONE,NO,,Final module/island sequencing authorized. Frequency and legal/product enrichment remain separate nonblocking workstreams.,Start WS-SEQUENCING.,,
COV15-F01,FINAL_GATE_METRIC,WS-COVERAGE-FINAL,Sense -> SourceAssertion,Phase6 audit + v1.40,NORMALIZED_PROVENANCE,PASS,608/608,608/608,608,608,100.0,NONE,NO,,Every normalized Sense has at least one published level-bearing SourceAssertion or normalized level anchor.,,spanishstories_a1_ws_source_assertions_modes_v1.40.csv,
COV15-F02,FINAL_GATE_METRIC,WS-COVERAGE-FINAL,A1 mode policy,v1.39-v1.40,RECEPTIVE_PRODUCTIVE_POLICY,PASS,602/602,602/602,602,602,100.0,NONE,NO,,All included A1 Senses have explicit receptive/productive policy.,,spanishstories_a1_ws_source_assertions_modes_v1.40.csv,
COV15-F03,FINAL_GATE_METRIC,WS-COVERAGE-FINAL,MWU assertion coverage,v1.40,NORMALIZED_PROVENANCE,PASS,214/214,214/214,214,214,100.0,NONE,NO,,All source MWU/chunks retain explicit source-family provenance.,,spanishstories_a1_ws_source_assertions_modes_v1.40.csv,
COV15-F04,FINAL_GATE_METRIC,WS-COVERAGE-FINAL,Final sequencing gate,v1.40,READINESS_GATE,PASS,0 curriculum blockers,0 curriculum blockers,,,,NONE,NO,,FINAL_SEQUENCING_READY = YES,Start WS-SEQUENCING / Phase 16.,WS-COVERAGE-FINAL v1.40,OpenSLR/Leipzig/ELELex and product-rights clearance remain nonblocking for curriculum sequencing.
