record_id,record_type,source_id,source_scope,source_ref,normalized_item,phonology_domain,receptive_required,productive_required,regional_scope,l1_english_relevance,a1_status,linked_phase8_item,orthography_crossref,baseline_lexicon_action,source_url,notes,curriculum_version
PHON9A-020,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.4,Separar melódicamente miembros coordinados,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-021,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.1,Controlar arranque melódico grave cuando preceden sílabas átonas,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-022,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.1,Controlar arranque en tono medio cuando la unidad comienza en sílaba tónica,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-023,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.2,Mantener cuerpo entonativo relativamente uniforme,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-024,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.3,Reconocer relevancia informativa del tramo final de la unidad,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-025,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.3,Ajustar extensión del final melódico según palabra aguda/llana/esdrújula,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-026,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.3,Producir cadencia para cierre enunciativo,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-027,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.3,Reconocer/producir anticadencia,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-028,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.3,Reconocer/producir suspensión,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-029,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.2.3,Reconocer valor expresivo básico de la inflexión final,DECLARATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-030,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.3,Sensibilización a la variedad de entonaciones interrogativas,INTERROGATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-031,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.3,Distinguir interrogativa absoluta y relativa por su patrón melódico,INTERROGATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-032,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.3,Producir interrogativas introducidas por pronombre interrogativo,INTERROGATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-033,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.3,Distinguir interrogativa simple de inicio de enunciativa compleja,INTERROGATIVE_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-034,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.4,Usar entonación como exponente de actos orientados al hablante/oyente,ILLOCUTIONARY_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-035,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.4,Producir formas exclamativas y expresivas básicas,ILLOCUTIONARY_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-036,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.4,Producir entonación de saludos y cortesía básica,ILLOCUTIONARY_INTONATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-037,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.1,Distinguir sílabas abiertas y cerradas,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-038,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.1,Reconocer la tendencia española a sílaba abierta,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-039,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.1,Reconocer que consonantes no forman núcleo silábico en español,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-040,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.1,Reconocer vocales como núcleo silábico simple o complejo,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-041,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.1,Reconocer sílabas monofonemáticas y polifonemáticas,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-042,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.1,Manejar estructuras silábicas frecuentes CV/CVC/CCV/VC,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-043,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.1,Reconocer que el español no opone sílabas largas y breves fonológicamente,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-044,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.2,Tomar conciencia del resilabeo,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-045,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.1.2,Resilabear entre palabras dentro de grupo fónico,SYLLABLE_STRUCTURE,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-046,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.1,"Reconocer naturaleza tónica, durativa e intensiva del acento",LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-047,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.1,Reconocer libertad relativa de posición del acento,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-048,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.2,Reconocer contraste léxico producido por posición del acento,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-049,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.3,Clasificar palabras agudas,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-050,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.3,Clasificar palabras llanas,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-051,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.3,Clasificar palabras esdrújulas,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-052,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.3,Reconocer sobresdrújulas en formas compuestas,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-053,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.3,Reconocer doble prominencia en adverbios en -mente,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-054,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.4,Reconocer esquemas acentuales verbales básicos,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-055,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,3.2.4,Reconocer esquemas acentuales nominales frecuentes por longitud,LEXICAL_STRESS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-056,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,4.1.1,Percibir tendencia al compás silábico del español,RHYTHM,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-057,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,4.1.1,Evitar interpretar el ritmo español como puramente silábico o puramente acentual,RHYTHM,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-058,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,4.2.1,Percibir pausas obligatorias que preservan significado/estructura,PAUSE_GROUP,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-059,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,4.2.1,Percibir pausas enumerativas,PAUSE_GROUP,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-060,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,4.2.2,Percibir pausas virtuales,PAUSE_GROUP,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-061,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,4.2.3,Reconocer pausas llenas y vacilaciones,PAUSE_GROUP,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-062,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,4.2.4,Reconocer el concepto de grupo fónico y su extensión,PAUSE_GROUP,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-063,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,5.1.1,Identificar y producir el sistema vocálico /a e i o u/,VOWELS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-064,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,5.1.1,Mantener claridad y estabilidad del timbre vocálico,VOWELS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-065,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,5.1.1,Evitar reducción excesiva de vocales átonas,VOWELS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-066,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,5.1.1,Evitar diptongación no española de vocales simples,VOWELS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-067,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,5.1.1,Controlar posición articulatoria central/anterior/posterior de vocales,VOWELS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-068,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,5.1.1,Controlar grado de abertura de /a e i o u/,VOWELS,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
