edge_id,target_type,target_id,introduction_story,return_stage,return_story,relation_scope,evidence_demand,expected_receptive,expected_productive,mastery_claim,notes
REC-A1-000001,SENSE,SENSE-A1-000015,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000013,SENSE,SENSE-A1-000275,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000014,SENSE,SENSE-A1-000275,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000015,SENSE,SENSE-A1-000275,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000016,SENSE,SENSE-A1-000292,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000017,SENSE,SENSE-A1-000292,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000018,SENSE,SENSE-A1-000292,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000019,SENSE,SENSE-A1-000442,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000020,SENSE,SENSE-A1-000442,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000021,SENSE,SENSE-A1-000442,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000022,SENSE,SENSE-A1-000510,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000023,SENSE,SENSE-A1-000510,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000024,SENSE,SENSE-A1-000510,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000025,GRAMMAR_UNIT,GRAM-A1-004,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,FUNCTION_OR_TASK_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000026,GRAMMAR_UNIT,GRAM-A1-004,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,FUNCTION_OR_TASK_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000027,GRAMMAR_UNIT,GRAM-A1-004,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,FUNCTION_OR_TASK_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000028,GRAMMAR_UNIT,GRAM-A1-124,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,FUNCTION_OR_TASK_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000029,GRAMMAR_UNIT,GRAM-A1-124,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,FUNCTION_OR_TASK_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000030,GRAMMAR_UNIT,GRAM-A1-124,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,FUNCTION_OR_TASK_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000031,MWU_SOURCE_UNIT,12B1-MWU-0208,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000032,MWU_SOURCE_UNIT,12B1-MWU-0208,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000033,MWU_SOURCE_UNIT,12B1-MWU-0208,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000034,MWU_SOURCE_UNIT,12B1-MWU-0209,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000035,MWU_SOURCE_UNIT,12B1-MWU-0209,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000036,MWU_SOURCE_UNIT,12B1-MWU-0209,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000037,MWU_SOURCE_UNIT,12B1-MWU-0210,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000038,MWU_SOURCE_UNIT,12B1-MWU-0210,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000039,MWU_SOURCE_UNIT,12B1-MWU-0210,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000040,MWU_SOURCE_UNIT,12B1-MWU-0211,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000041,MWU_SOURCE_UNIT,12B1-MWU-0211,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000042,MWU_SOURCE_UNIT,12B1-MWU-0211,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000043,MWU_SOURCE_UNIT,12B1-MWU-0213,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000044,MWU_SOURCE_UNIT,12B1-MWU-0213,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000045,MWU_SOURCE_UNIT,12B1-MWU-0213,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000046,SENSE,SENSE-A1-000046,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000047,SENSE,SENSE-A1-000046,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000048,SENSE,SENSE-A1-000046,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000049,SENSE,SENSE-A1-000200,A1-M01-I05-S3,FIRST_RETURN,A1-M01-I05-S4,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000050,SENSE,SENSE-A1-000200,A1-M01-I05-S3,SECOND_RETURN,A1-M02-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000051,SENSE,SENSE-A1-000200,A1-M01-I05-S3,THIRD_RETURN,A1-M03-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000052,SENSE,SENSE-A1-000210,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000053,SENSE,SENSE-A1-000210,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000054,SENSE,SENSE-A1-000210,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000055,SENSE,SENSE-A1-000211,A1-M01-I05-S3,FIRST_RETURN,A1-M01-I05-S4,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000056,SENSE,SENSE-A1-000211,A1-M01-I05-S3,SECOND_RETURN,A1-M02-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000057,SENSE,SENSE-A1-000211,A1-M01-I05-S3,THIRD_RETURN,A1-M03-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000058,SENSE,SENSE-A1-000235,A1-M01-I05-S3,FIRST_RETURN,A1-M01-I05-S4,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000059,SENSE,SENSE-A1-000235,A1-M01-I05-S3,SECOND_RETURN,A1-M02-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000060,SENSE,SENSE-A1-000235,A1-M01-I05-S3,THIRD_RETURN,A1-M03-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000061,SENSE,SENSE-A1-000255,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000062,SENSE,SENSE-A1-000255,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000063,SENSE,SENSE-A1-000255,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000064,SENSE,SENSE-A1-000339,A1-M01-I05-S3,FIRST_RETURN,A1-M01-I05-S4,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000065,SENSE,SENSE-A1-000339,A1-M01-I05-S3,SECOND_RETURN,A1-M02-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000066,SENSE,SENSE-A1-000339,A1-M01-I05-S3,THIRD_RETURN,A1-M03-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000067,SENSE,SENSE-A1-000345,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000068,SENSE,SENSE-A1-000345,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000069,SENSE,SENSE-A1-000345,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000070,SENSE,SENSE-A1-000403,A1-M01-I05-S3,FIRST_RETURN,A1-M01-I05-S4,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000071,SENSE,SENSE-A1-000403,A1-M01-I05-S3,SECOND_RETURN,A1-M02-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000072,SENSE,SENSE-A1-000403,A1-M01-I05-S3,THIRD_RETURN,A1-M03-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000073,SENSE,SENSE-A1-000406,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000074,SENSE,SENSE-A1-000406,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000075,SENSE,SENSE-A1-000406,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000076,SENSE,SENSE-A1-000517,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000077,SENSE,SENSE-A1-000517,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000078,SENSE,SENSE-A1-000517,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000079,SENSE,SENSE-A1-000520,A1-M01-I05-S3,FIRST_RETURN,A1-M01-I05-S4,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000080,SENSE,SENSE-A1-000520,A1-M01-I05-S3,SECOND_RETURN,A1-M02-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000081,SENSE,SENSE-A1-000520,A1-M01-I05-S3,THIRD_RETURN,A1-M03-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000082,SENSE,SENSE-A1-000572,A1-M01-I05-S3,FIRST_RETURN,A1-M01-I05-S4,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000083,SENSE,SENSE-A1-000572,A1-M01-I05-S3,SECOND_RETURN,A1-M02-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000084,SENSE,SENSE-A1-000572,A1-M01-I05-S3,THIRD_RETURN,A1-M03-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000085,SENSE,SENSE-A1-000575,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000086,SENSE,SENSE-A1-000575,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000087,SENSE,SENSE-A1-000575,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000088,SENSE,SENSE-A1-000579,A1-M01-I05-S3,FIRST_RETURN,A1-M01-I05-S4,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000089,SENSE,SENSE-A1-000579,A1-M01-I05-S3,SECOND_RETURN,A1-M02-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000090,SENSE,SENSE-A1-000579,A1-M01-I05-S3,THIRD_RETURN,A1-M03-I05-S1,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000091,SENSE,SENSE-A1-000601,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,TARGET_PROFILE_ONLY,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000092,SENSE,SENSE-A1-000601,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,TARGET_PROFILE_ONLY,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000093,SENSE,SENSE-A1-000601,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,TARGET_PROFILE_ONLY,NONE,Return scheduling requirement; exposure is not mastery.
