record_id,record_type,source_id,source_level,pcic_ref,pcic_short_label,normalized_spanishstories_item,resource_family,minimal_realizers_or_pattern,receptive_required,productive_required,regional_scope,status,linked_inventory_or_item,baseline_lexicon_action,source_url,notes,curriculum_version
PRAG8A-012,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.5,Controlador del contacto ¿no?,Comprobar contacto/adhesión mínima del interlocutor mediante apéndice interrogativo,CONTACT_CONTROL,¿no?,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-013,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.5,Controlador del contacto ¿eh?,Mantener o comprobar el contacto mediante apéndice interrogativo mínimo,CONTACT_CONTROL,¿eh?,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-014,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.3.1,Deixis espacial adverbial,Localizar respecto del centro deíctico mediante adverbios espaciales básicos,DEIXIS_SPATIAL,aquí; ahí; allí,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-015,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.3.1,Verbos de dirección,Codificar dirección respecto del centro deíctico mediante oposición básica de movimiento,DEIXIS_SPATIAL,ir; venir,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-016,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.3.1,Demostrativos espaciales,Distinguir cercanía/lejanía respecto de hablante y oyente,DEIXIS_SPATIAL,este; ese; aquel,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-017,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.3.1,Demostrativo neutro identificativo,Identificar un objeto desconocido mediante demostrativo neutro,DEIXIS_SPATIAL,esto; eso; aquello,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-018,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.3.2,Deixis temporal básica,Situar el enunciado respecto del momento de habla con adverbios temporales básicos,DEIXIS_TEMPORAL,ahora; hoy; mañana,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-019,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.3.3,Pronombre sujeto contrastivo,Hacer explícito el pronombre sujeto para contraste interpersonal,DEIXIS_PERSONAL,yo/tú/etc. contrastivo,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-020,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.3.3,Demostrativos en presentación informal,Introducir o presentar personas mediante demostrativos en interacción informal,DEIXIS_PERSONAL,este/esta + ser + persona,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-021,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.4.1,Rematización identificativa,Organizar información nueva mediante posposición/estructura identificativa del sujeto o atributo,INFORMATION_STRUCTURE,ser + identificación,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-022,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.4.1,Rematización temporal,Presentar localización temporal elemental como información focal,INFORMATION_STRUCTURE,ser + referencia temporal,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-023,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.4.1,Rematización en interrogativas directas,Focalizar la información solicitada mediante interrogativos básicos,INFORMATION_STRUCTURE,qué; quién; cuánto; dónde; cómo; por qué,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-024,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.4.1,Rematización con también/tampoco,Marcar información focal incluyente mediante operadores discursivos,INFORMATION_STRUCTURE,también; tampoco,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-025,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.4.1,Introducción de información nueva con haber,Introducir un referente nuevo mediante construcción existencial indefinida,INFORMATION_STRUCTURE,hay + SN indefinido + locativo,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-026,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.4.1,Primera mención con artículo indefinido,Marcar primera introducción discursiva de un referente mediante artículo indefinido,INFORMATION_STRUCTURE,un/una + SN,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-027,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.4.2,Tematización con SN determinado + relativa,Construir un tópico identificable mediante SN definido y relativa en indicativo,INFORMATION_STRUCTURE,artículo definido + SN + que + indicativo,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-028,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.6.1,Interrogativa neutra — pregunta real,Usar interrogación neutral para solicitar información real,ILLOCUTION_INTERROGATIVE,interrogativa informativa,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-029,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.6.1,Interrogativa neutra — saludo,Usar una interrogativa convencionalizada como saludo/contacto social,ILLOCUTION_INTERROGATIVE,¿Qué tal?,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-030,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.7.1,Negación directa — respuesta,Responder negativamente a una pregunta de forma elemental,NEGATION_PRAGMATICS,no,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-031,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.7.1,Negación directa — autocorrección,Rectificar el propio enunciado mediante negación explícita,NEGATION_PRAGMATICS,no + corrección,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-032,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.7.1,Negación reiterada — corrección de afirmación previa,Corregir un enunciado afirmativo anterior mediante repetición de la negación,NEGATION_PRAGMATICS,"no, no + predicado",YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-033,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.7.1,Negación reiterada — acuerdo con negación previa,Mostrar acuerdo con una declaración negativa previa mediante negación reiterada,NEGATION_PRAGMATICS,"no, no + predicado",YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-034,A1_PRAGMATIC_ITEM,PCIC-06,A1,2.4,Tonema descendente en aseveraciones,Codificar valor aseverativo básico mediante contorno descendente,PROSODIC_PRAGMATICS,↓ aseveración,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-035,A1_PRAGMATIC_ITEM,PCIC-06,A1,2.4,Tonema ascendente en interrogativas totales,Solicitar información mediante contorno ascendente en pregunta total,PROSODIC_PRAGMATICS,↑ interrogativa total,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-036,A1_PRAGMATIC_ITEM,PCIC-06,A1,2.4,Tonema descendente en interrogativas parciales,Solicitar información sin interés marcado mediante contorno descendente en pregunta parcial,PROSODIC_PRAGMATICS,↓ interrogativa parcial,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-037,A1_PRAGMATIC_ITEM,PCIC-06,A1,3.1.1,Tratamiento usted/ustedes para distancia o respeto,Atenuar el papel interpersonal mediante tratamiento de tercera persona para respeto social o distancia afectiva,POLITENESS,usted; ustedes,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-038,A1_PRAGMATIC_ITEM,PCIC-06,A1,3.1.2,Atenuación con creer afirmativo,Atenuar valoraciones o información presentándolas como creencia del hablante,POLITENESS,creo que + oración,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-039,A1_PRAGMATIC_ITEM,PCIC-06,A1,3.1.2,Forma ritual por favor,Atenuar una petición/acto potencialmente impositivo mediante fórmula ritual,POLITENESS,por favor,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-040,A1_REGIONAL_PRAGMATIC_ASSERTION,PCIC-06,A1,1.1.1,Expresión más frecuente de sujetos pronominales,Reconocer tendencia regional a explicitar el sujeto pronominal,VARIATION_PRAGMATICS,pronombre sujeto explícito,YES,TARGET_PROFILE_ONLY,Hispanoamérica,A1_REGIONAL_ASSERTION,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-041,A1_REGIONAL_PRAGMATIC_ASSERTION,PCIC-06,A1,1.3.1,Preferencia por acá/allá,Reconocer preferencia regional por formas deícticas espaciales alternativas,VARIATION_PRAGMATICS,acá; allá,YES,TARGET_PROFILE_ONLY,Hispanoamérica,A1_REGIONAL_ASSERTION,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-042,A1_REGIONAL_PRAGMATIC_ASSERTION,PCIC-06,A1,1.3.2,Uso de hoy día,Reconocer uso regional de hoy día con valor temporal amplio,VARIATION_PRAGMATICS,hoy día,YES,TARGET_PROFILE_ONLY,Hispanoamérica,A1_REGIONAL_ASSERTION,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-043,A1_REGIONAL_PRAGMATIC_ASSERTION,PCIC-06,A1,1.7.1,Negación simple en respuesta,Reconocer patrón regional de negación simple en respuestas negativas,VARIATION_PRAGMATICS,no,YES,TARGET_PROFILE_ONLY,Hispanoamérica,A1_REGIONAL_ASSERTION,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-044,A1_REGIONAL_PRAGMATIC_ASSERTION,PCIC-06,A1,3.1.1,Ustedes como 2.ª persona plural exclusiva,Reconocer sistema regional sin vosotros/vosotras en la segunda persona plural,VARIATION_PRAGMATICS,ustedes,YES,TARGET_PROFILE_ONLY,Hispanoamérica; sur de España; Canarias,A1_REGIONAL_ASSERTION,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-045,A1_REGIONAL_PRAGMATIC_ASSERTION,PCIC-06,A1,3.1.1,Preferencia por usted según distancia social,"Reconocer mayor preferencia regional por usted ante desconocimiento, jerarquía, distancia y ciertos contrastes sociales",VARIATION_PRAGMATICS,usted,YES,TARGET_PROFILE_ONLY,Hispanoamérica,A1_REGIONAL_ASSERTION,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-046,A2_BOUNDARY,PCIC-06,A2,1.1.1,Referencia anafórica ampliada,"A2 amplía proformas a adverbios y añade elipsis verbal, anáfora definida y tematización posesiva",REFERENCE_COHESION,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-047,A2_BOUNDARY,PCIC-06,A2,1.1.2,Repetición léxica exacta,Repetición léxica exacta como recurso léxico-semántico aparece en la columna A2 de esta página,REFERENCE_COHESION,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-048,A2_BOUNDARY,PCIC-06,A2,1.2.1,Conectores consecutivos,por eso / entonces aparecen en A2 dentro de este inventario pragmático,DISCOURSE_MARKER,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-049,A2_BOUNDARY,PCIC-06,A2,1.2.2,Estructuradores ordenadores,primero / luego / después / por último aparecen en A2,DISCOURSE_MARKER,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-050,A2_BOUNDARY,PCIC-06,A2,1.2.5,Controladores imperativos,oye/oiga/mira/mire aparecen en A2,CONTACT_CONTROL,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-051,A2_BOUNDARY,PCIC-06,A2,1.3.1,Deixis espacial ampliada,arriba/abajo/adelante/atrás/cerca/lejos aparecen en A2,DEIXIS_SPATIAL,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-052,A2_BOUNDARY,PCIC-06,A2,1.3.1,Dirección llevar/traer,La oposición llevar/traer se presenta en A2 en este inventario,DEIXIS_SPATIAL,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-053,A2_BOUNDARY,PCIC-06,A2,1.3.2,Deixis temporal ampliada,ayer/anoche/antes/después/entonces y locuciones relacionadas aparecen en A2,DEIXIS_TEMPORAL,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-054,A2_BOUNDARY,PCIC-06,A2,1.3.3,Deixis personal ampliada,"Deixis ad oculos, dativos de involucración/posesión y tematización posesiva aparecen en A2",DEIXIS_PERSONAL,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-055,A2_BOUNDARY,PCIC-06,A2,1.4.1,Rematización ampliada,"Posesión, cantidades y cuándo/para qué aparecen en A2",INFORMATION_STRUCTURE,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-056,A2_BOUNDARY,PCIC-06,A2,1.4.2,Tematización ampliada,"Anteposición de complementos, reduplicación OI y segunda mención definida aparecen en A2",INFORMATION_STRUCTURE,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-057,A2_BOUNDARY,PCIC-06,A2,1.6.1,Interrogativas con otros valores ilocutivos,"Pregunta deliberativa/de examen, permiso, ofrecimiento y mandato aparecen en A2",ILLOCUTION_INTERROGATIVE,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-058,A2_BOUNDARY,PCIC-06,A2,1.6.2,Interrogativas orientadas,Eco y retóricas confirmativas aparecen en A2,ILLOCUTION_INTERROGATIVE,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-059,A2_BOUNDARY,PCIC-06,A2,1.7.2,Negación con refuerzo,Refuerzos con todavía/aún y expresiones temporales aparecen en A2,NEGATION_PRAGMATICS,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-060,A2_BOUNDARY,PCIC-06,A2,2.4,Entonación parcial ascendente marcada,Interés/recriminación mediante ascenso en interrogativas parciales aparece en A2,PROSODIC_PRAGMATICS,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-061,A2_BOUNDARY,PCIC-06,A2,2.5.1,Presente con proyección futura segura,El desplazamiento de perspectiva temporal mediante presente por futuro aparece en A2,TEMPORAL_PERSPECTIVE,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-062,A2_BOUNDARY,PCIC-06,A2,3.1.1,Atenuación impersonal con se,La minimización mediante construcción impersonal con se aparece en A2,POLITENESS,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-063,A2_BOUNDARY,PCIC-06,A2,3.1.1,Atenuación impersonal con hay,La minimización de fuerza ilocutiva mediante hay que aparece en A2,POLITENESS,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-064,A2_BOUNDARY,PCIC-06,A2,3.1.2,Interrogativas como mandato/exhortación,El acto indirecto interrogativo para mandato aparece en A2,POLITENESS,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-065,A2_BOUNDARY,PCIC-06,A2,3.1.2,Aseveraciones como petición/mandato,El acto indirecto aseverativo para petición/mandato aparece en A2,POLITENESS,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-066,A2_BOUNDARY,PCIC-06,A2,3.1.2,Imperativos lexicalizados fáticos,perdona/perdone con valor fático y cortés aparece en A2,POLITENESS,,NO,NO,,A2_ONLY_ON_A1_A2_PAGE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-067,STRUCTURAL_BOUNDARY,PCIC-06,A1-A2,1.5,Sin contenido,La posición 1.5 no aporta contenido A1 en la página auditada,EMPTY_SECTION,,NO,NO,,NO_A1_CONTENT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
