record_id,subphase,record_type,domain,source_section,source_phase,item,object_type,geographic_scope,a1_status,evidence_gate,baseline_action,crossref,notes,source_id,source_url,curriculum_version
10-0011,10A,CULTURAL_APPROXIMATION_TOPIC,Geografía física,1.1.2 Particularidades geográficas,APPROXIMATION,accidentes geográficos de proyección internacional,CULTURAL_REFERENT_CLASS,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0012,10A,CULTURAL_APPROXIMATION_TOPIC,Geografía física,1.1.2 Particularidades geográficas,APPROXIMATION,representaciones culturales asociadas al río,CULTURAL_REPRESENTATION,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0013,10A,CULTURAL_APPROXIMATION_TOPIC,Geografía física,1.1.2 Particularidades geográficas,APPROXIMATION,representaciones culturales asociadas a la llanura,CULTURAL_REPRESENTATION,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0014,10A,CULTURAL_APPROXIMATION_TOPIC,Geografía física,1.1.3 Fauna y flora,APPROXIMATION,fauna característica de países hispanos,CULTURAL_REFERENT_CLASS,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0015,10A,CULTURAL_APPROXIMATION_TOPIC,Geografía física,1.1.3 Fauna y flora,APPROXIMATION,fauna usada como símbolo regional o nacional,CULTURAL_SYMBOL,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0016,10A,CULTURAL_APPROXIMATION_TOPIC,Geografía física,1.1.3 Fauna y flora,APPROXIMATION,flora característica y simbólica,CULTURAL_SYMBOL,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0017,10A,CULTURAL_APPROXIMATION_TOPIC,Población,1.2 Población,APPROXIMATION,pueblos y minorías étnicas de los países hispanos,DEMOGRAPHIC_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0018,10A,CULTURAL_APPROXIMATION_TOPIC,Población,1.2 Población,APPROXIMATION,importancia de la población indígena,DEMOGRAPHIC_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0019,10A,CULTURAL_APPROXIMATION_TOPIC,Gobierno y política,1.3.1 Poderes del Estado e instituciones,APPROXIMATION,sistemas de gobierno de los países hispanos,POLITICAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0020,10A,CULTURAL_APPROXIMATION_TOPIC,Gobierno y política,1.3.1 Poderes del Estado e instituciones,APPROXIMATION,banderas e himnos como símbolos institucionales,CULTURAL_SYMBOL,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0021,10A,CULTURAL_APPROXIMATION_TOPIC,Organización territorial,1.4.1 Demarcación territorial,APPROXIMATION,platos típicos asociados a demarcaciones territoriales,REGIONAL_CULTURAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0022,10A,CULTURAL_APPROXIMATION_TOPIC,Organización territorial,1.4.1 Demarcación territorial,APPROXIMATION,fiestas populares asociadas a regiones o ciudades,REGIONAL_CULTURAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0023,10A,CULTURAL_APPROXIMATION_TOPIC,Organización territorial,"1.4.2 Capitales, ciudades y pueblos",APPROXIMATION,capitales de los países hispanos,GEOGRAPHIC_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0024,10A,CULTURAL_APPROXIMATION_TOPIC,Organización territorial,"1.4.2 Capitales, ciudades y pueblos",APPROXIMATION,lugares representativos de capitales,GEOGRAPHIC_CULTURAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0025,10A,CULTURAL_APPROXIMATION_TOPIC,Organización territorial,"1.4.2 Capitales, ciudades y pueblos",APPROXIMATION,ciudades con proyección internacional,GEOGRAPHIC_CULTURAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0026,10A,CULTURAL_APPROXIMATION_TOPIC,Organización territorial,"1.4.2 Capitales, ciudades y pueblos",APPROXIMATION,"lugares históricos, artísticos o culturales emblemáticos",HERITAGE_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0027,10A,CULTURAL_APPROXIMATION_TOPIC,Organización territorial,"1.4.2 Capitales, ciudades y pueblos",APPROXIMATION,acontecimientos culturales asociados a ciudades,CULTURAL_EVENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0028,10A,CULTURAL_APPROXIMATION_TOPIC,Economía,1.5 Economía e industria,APPROXIMATION,sistemas de pesos y medidas usados en países hispanos,ECONOMIC_CONVENTION,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0029,10A,CULTURAL_APPROXIMATION_TOPIC,Economía,1.5 Economía e industria,APPROXIMATION,monedas de los países hispanos,ECONOMIC_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0030,10A,CULTURAL_APPROXIMATION_TOPIC,Salud,1.6 Medicina y sanidad,APPROXIMATION,sistemas sanitarios de países hispanos,INSTITUTIONAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0031,10A,CULTURAL_APPROXIMATION_TOPIC,Educación,1.7 Educación,APPROXIMATION,instituciones educativas,INSTITUTIONAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0032,10A,CULTURAL_APPROXIMATION_TOPIC,Educación,1.7 Educación,APPROXIMATION,ciclos formativos,EDUCATIONAL_SYSTEM_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0033,10A,CULTURAL_APPROXIMATION_TOPIC,Educación,1.7 Educación,APPROXIMATION,universidades representativas y sus símbolos,INSTITUTIONAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0034,10A,CULTURAL_APPROXIMATION_TOPIC,Medios,1.8.1 Prensa escrita,APPROXIMATION,principales periódicos de los países hispanos,MEDIA_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0035,10A,CULTURAL_APPROXIMATION_TOPIC,Medios,1.8.2 Televisión y radio,APPROXIMATION,canales de televisión de amplia audiencia,MEDIA_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0036,10A,CULTURAL_APPROXIMATION_TOPIC,Medios,1.8.2 Televisión y radio,APPROXIMATION,cadenas de radio de amplia difusión,MEDIA_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0037,10A,CULTURAL_APPROXIMATION_TOPIC,Transporte,1.9.1 Largo recorrido,APPROXIMATION,aeropuertos relevantes y compañías aéreas representativas,TRANSPORT_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0038,10A,CULTURAL_APPROXIMATION_TOPIC,Transporte,1.9.1 Largo recorrido,APPROXIMATION,redes ferroviarias representativas,TRANSPORT_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0039,10A,CULTURAL_APPROXIMATION_TOPIC,Transporte,1.9.1 Largo recorrido,APPROXIMATION,puertos y vías fluviales relevantes,TRANSPORT_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0040,10A,CULTURAL_APPROXIMATION_TOPIC,Transporte,1.9.2 Transporte urbano e interurbano,APPROXIMATION,redes de transporte urbano,TRANSPORT_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0041,10A,CULTURAL_APPROXIMATION_TOPIC,Transporte,1.9.2 Transporte urbano e interurbano,APPROXIMATION,iconos locales para identificar el metro,PUBLIC_SYMBOL,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0042,10A,CULTURAL_APPROXIMATION_TOPIC,Transporte,1.9.3 Transporte por carretera,APPROXIMATION,redes viarias de proyección regional/internacional,TRANSPORT_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0043,10A,CULTURAL_APPROXIMATION_TOPIC,Religión,1.10 Religión,APPROXIMATION,religiones mayoritarias de los países hispanos,RELIGIOUS_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0044,10A,CULTURAL_APPROXIMATION_TOPIC,Lenguas,1.11 Política lingüística,APPROXIMATION,lenguas oficiales y cooficiales,SOCIOLINGUISTIC_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0045,10A,CULTURAL_APPROXIMATION_TOPIC,Lenguas,1.11 Política lingüística,APPROXIMATION,instituciones para el cuidado y fomento de las lenguas,INSTITUTIONAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0046,10A,CULTURAL_APPROXIMATION_TOPIC,Lenguas,1.11 Política lingüística,APPROXIMATION,instituciones para la difusión de la lengua y la cultura,INSTITUTIONAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0047,10A,CULTURAL_APPROXIMATION_TOPIC,Historia,2.1 Historia,APPROXIMATION,hitos fundamentales de la historia de los países hispanos,HISTORICAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0048,10A,CULTURAL_APPROXIMATION_TOPIC,Historia,2.1 Historia,APPROXIMATION,referentes culturales y artísticos vinculados a etapas históricas,HISTORICAL_CULTURAL_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0049,10A,CULTURAL_APPROXIMATION_TOPIC,Historia,2.1 Historia,APPROXIMATION,grandes personajes históricos y legendarios,HISTORICAL_PERSON_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0050,10A,CULTURAL_APPROXIMATION_TOPIC,Sociedad y cultura,2.2 Vida social y cultural,APPROXIMATION,grandes acontecimientos sociales,SOCIAL_EVENT_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0051,10A,CULTURAL_APPROXIMATION_TOPIC,Sociedad y cultura,2.2 Vida social y cultural,APPROXIMATION,grandes acontecimientos culturales,CULTURAL_EVENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0052,10A,CULTURAL_APPROXIMATION_TOPIC,Sociedad y cultura,2.2 Vida social y cultural,APPROXIMATION,"personalidades de cultura, ciencia y deporte con proyección internacional",CONTEMPORARY_PERSON_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0053,10A,CULTURAL_APPROXIMATION_TOPIC,Sociedad y cultura,2.2 Vida social y cultural,APPROXIMATION,personajes populares de la vida social contemporánea,CONTEMPORARY_PERSON_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0054,10A,CULTURAL_APPROXIMATION_TOPIC,Productos culturales,3.1 Literatura y pensamiento,APPROXIMATION,grandes autores y obras literarias de proyección internacional,LITERARY_REFERENT,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
