record_id,surface_form,pos_provisional,a1_inclusion_status,source_layer,cognate_status,english_anchor,orthographic_similarity,orthographic_transparency,phonological_transparency_estimate,phonological_method,semantic_overlap,false_friend_risk,scaffold_recommended,changes_a1_membership,review_status,method_sources,notes,curriculum_version
COG-A1-022,allí,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-023,alquilar,VERB,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-024,alto,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,FALSE_FRIEND_OR_DECEPTIVE_OVERLAP,alto,1.0,VERY_HIGH,FORM_SIMILARITY_ONLY,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,DIVERGENT,HIGH,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,Deceptive form overlap with an English item whose everyday meaning does not match the relevant A1 Spanish sense.,1.17
COG-A1-025,amarillo,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-026,amigo,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,INTERNATIONALISM_OR_BORROWING,amigo,1.0,VERY_HIGH,HIGH_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,LOW,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,"Cross-language similarity may be usable, but pedagogical value depends on English familiarity and the relevant sense.",1.17
COG-A1-027,andar,VERB,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-028,animal,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,TRUE_COGNATE,animal,1.0,VERY_HIGH,HIGH_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,NONE,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,,1.17
COG-A1-029,anteojos,NOUN_PL,A1_REGIONAL_RECEPTIVE,7C_REGIONAL_VARIATION,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-030,antes,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-031,antipático,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,FALSE_FRIEND_OR_DECEPTIVE_OVERLAP,antipathetic,0.667,MEDIUM,FORM_SIMILARITY_ONLY,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,DIVERGENT,MEDIUM,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,Deceptive form overlap with an English item whose everyday meaning does not match the relevant A1 Spanish sense.,1.17
COG-A1-032,aparcamiento,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-033,apartamento,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,TRUE_COGNATE,apartment,0.818,HIGH,MEDIUM_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,NONE,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,,1.17
COG-A1-034,apellido,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-035,aprender,VERB,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-036,aquel,FUNCTION_WORD,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-037,aquella,DEMONSTRATIVE,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-038,aquellas,DEMONSTRATIVE,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-039,aquello,DEMONSTRATIVE,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-040,aquellos,DEMONSTRATIVE,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-041,aquí,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-042,armario,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,FALSE_FRIEND_OR_DECEPTIVE_OVERLAP,armory,0.571,LOW,FORM_SIMILARITY_ONLY,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,DIVERGENT,MEDIUM,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,Deceptive form overlap with an English item whose everyday meaning does not match the relevant A1 Spanish sense.,1.17
COG-A1-043,arroba,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-044,ascensor,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-045,autobús,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,PEDAGOGICAL_COGNATE_PARTIAL,autobus,1.0,VERY_HIGH,HIGH_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,PARTIAL,LOW,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,"Useful cross-language similarity, but not fully transparent or not identical in everyday distribution.",1.17
COG-A1-046,avenida,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,TRUE_COGNATE,avenue,0.571,LOW,LOW_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,NONE,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,,1.17
COG-A1-047,avión,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-048,ayer,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-049,azul,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-050,año,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-051,años,NOUN,A1_CORE_NORMATIVE,7B_SURFACE_CORRECTION,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-052,bailar,VERB,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-053,bajo,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-054,baloncesto,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
