record_id,record_type,pcic_major_section,pcic_major_title,pcic_subsection,category,subsection_title,normalized_family,source_item_ordinal,source_item_count_in_subsection,source_grading,a1_status,a1_evidence_gate,pedagogical_action,production_requirement,assessment_status,geographic_scope,cross_phase_link,notes,source_url,curriculum_version
IC-A1-011,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.2,HABILIDAD,Percepción de diferencias culturales,PERCEPTION_OF_CULTURAL_DIFFERENCE,2,7,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-012,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.2,HABILIDAD,Percepción de diferencias culturales,PERCEPTION_OF_CULTURAL_DIFFERENCE,3,7,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-013,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.2,HABILIDAD,Percepción de diferencias culturales,PERCEPTION_OF_CULTURAL_DIFFERENCE,4,7,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-014,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.2,HABILIDAD,Percepción de diferencias culturales,PERCEPTION_OF_CULTURAL_DIFFERENCE,5,7,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-015,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.2,HABILIDAD,Percepción de diferencias culturales,PERCEPTION_OF_CULTURAL_DIFFERENCE,6,7,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-016,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.2,HABILIDAD,Percepción de diferencias culturales,PERCEPTION_OF_CULTURAL_DIFFERENCE,7,7,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-017,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,1,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-018,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,2,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-019,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,3,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-020,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,4,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-021,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,5,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-022,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,6,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-023,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,7,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-024,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,8,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-025,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,9,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-026,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,10,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
IC-A1-027,PCIC12_INTERCULTURAL_SPECIFICATION_UNGRADED,1,Configuración de una identidad cultural plural,1.1.3,HABILIDAD,Aproximación cultural,CULTURAL_APPROACH_STEREOTYPE_REVIEW,11,11,SINGLE_UNSCALED_LIST,NOT_AN_A1_ASSERTION_BY_PCIC,UNSCALED_PCIC_INTERCULTURAL_POOL,AVAILABLE_FOR_CONTEXTUAL_CURRICULUM_SELECTION,TASK_DEPENDENT_NOT_LEVEL_DEFINED,DO_NOT_TREAT_AS_LANGUAGE_LEVEL_PASS_FAIL,INTERCULTURAL; PARTICULARLY_SPAIN_AND_HISPANIC_COUNTRIES,PHASE10_CULTURAL_KNOWLEDGE; PHASE8_PRAGMATICS_WHEN_APPLICABLE,Item-level source position preserved without copying the full protected source formulation. Content family is normalized at subsection level; exact source item must be consulted at the recorded locator.,https://cvc.cervantes.es/Ensenanza/biblioteca_ele/plan_curricular/niveles/12_habilidades_y_actitudes_inventario.htm,1.26
