record_id,record_type,source_id,source_level,pcic_ref,pcic_short_label,normalized_spanishstories_item,inventory,transmission_mode,receptive_required,productive_required,domain_or_scope,parent_record_or_item,status,linked_inventory_or_item,baseline_lexicon_action,source_url,notes,curriculum_version
GEN8B-011,A1_GENRE_PROFILE,PCIC-07,A1,1.3,Postales y mensajes electrónicos breves y sencillos,Postal o mensaje electrónico breve y sencillo,A1-GENRES,WRITTEN,YES,YES,correspondencia personal básica,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-012,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Billete de transporte,Billete de transporte,A1-GENRES,WRITTEN,YES,NO,transporte,GEN8B-003,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-013,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Billete de banco,Billete de banco,A1-GENRES,WRITTEN,YES,NO,banco,GEN8B-003,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-014,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Cartel funcional,Cartel funcional,A1-GENRES,WRITTEN,YES,NO,hoteles/tiendas/supermercados/mercados,GEN8B-004,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-015,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Directorio de centro comercial,Directorio de centro comercial,A1-GENRES,WRITTEN,YES,NO,centro comercial,GEN8B-004,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-016,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Hoja de información turística,Hoja de información turística,A1-GENRES,WRITTEN,YES,NO,turismo,GEN8B-007,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-017,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Folleto de información turística,Folleto de información turística,A1-GENRES,WRITTEN,YES,NO,turismo,GEN8B-007,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-018,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Horario de establecimiento,Horario de establecimiento,A1-GENRES,WRITTEN,YES,NO,establecimiento,GEN8B-008,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-019,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Horario de transporte público,Horario de transporte público,A1-GENRES,WRITTEN,YES,NO,transporte,GEN8B-008,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-020,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Menú del día,Menú del día,A1-GENRES,WRITTEN,YES,NO,restauración,GEN8B-009,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-021,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Menú turístico,Menú turístico,A1-GENRES,WRITTEN,YES,NO,restauración,GEN8B-009,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-022,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Menú de establecimiento de comida rápida,Menú de establecimiento de comida rápida,A1-GENRES,WRITTEN,YES,NO,restauración,GEN8B-009,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-023,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Postal breve y sencilla,Postal breve y sencilla,A1-GENRES,WRITTEN,YES,YES,correspondencia,GEN8B-011,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-024,A1_PRODUCT_SUBTYPE,PCIC-07,A1,1.3,Mensaje electrónico breve y sencillo,Mensaje electrónico breve y sencillo,A1-GENRES,WRITTEN,YES,YES,correspondencia,GEN8B-011,CHILD_OF_A1_GENRE_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-025,A1_MACROFUNCTION,PCIC-07,A1,3.1,Macrofunción descriptiva: personas,Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-026,A1_PROCESS_ORGANIZATION,PCIC-07,A1,3.1.1,"Punto de vista objetivo, de general a particular",Organizar la descripción desde una caracterización general hacia rasgos particulares,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-027,A1_DISCOURSE_MOVE,PCIC-07,A1,3.1.1,Anclaje,Introducir e identificar el referente que será descrito,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-028,A1_DISCOURSE_MOVE,PCIC-07,A1,3.1.1,Aspectualización,"Desarrollar rasgos, partes, propiedades o localización del referente",A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-029,A1_MACROFUNCTION,PCIC-07,A1,3.2,Macrofunción descriptiva: objetos,Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-030,A1_PROCESS_ORGANIZATION,PCIC-07,A1,3.2.1,"Punto de vista objetivo, de general a particular",Organizar la descripción desde una caracterización general hacia rasgos particulares,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-031,A1_DISCOURSE_MOVE,PCIC-07,A1,3.2.1,Anclaje,Introducir e identificar el referente que será descrito,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-032,A1_DISCOURSE_MOVE,PCIC-07,A1,3.2.1,Aspectualización,"Desarrollar rasgos, partes, propiedades o localización del referente",A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-033,A1_MACROFUNCTION,PCIC-07,A1,3.3,Macrofunción descriptiva: lugares,Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-034,A1_PROCESS_ORGANIZATION,PCIC-07,A1,3.3.1,"Punto de vista objetivo, de general a particular",Organizar la descripción desde una caracterización general hacia rasgos particulares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-035,A1_DISCOURSE_MOVE,PCIC-07,A1,3.3.1,Anclaje,Introducir e identificar el referente que será descrito,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-036,A1_DISCOURSE_MOVE,PCIC-07,A1,3.3.1,Aspectualización,"Desarrollar rasgos, partes, propiedades o localización del referente",A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-037,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Adjetivos/SN — dimensión física — rasgos generales,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Nociones específicas 1.2,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-038,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Adjetivos/SN — cuerpo,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Nociones específicas 1.1; 1.3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-039,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Adjetivos/SN — ropa,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Nociones específicas 12.2,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-040,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Adjetivos/SN — dimensión perceptiva y anímica,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Nociones específicas 2.1; 2.2; 2.3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-041,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Posición del adjetivo,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Gramática 2.4,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-042,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Verbos de existencia,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Nociones generales 1.1,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-043,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Verbos de cualidad general,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Nociones generales 1.4,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-044,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Verbos de cambio,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Nociones generales 4.3.13,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-045,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Presente de indicativo: presente actual y valor durativo,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Gramática 9.1.1,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-046,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Participio con valor adjetival,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Gramática 9.4.3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-047,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Deixis espacial,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Pragmática 1.3.1; Nociones generales 3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-048,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Deixis temporal,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Pragmática 1.3.2; Nociones generales 4.3.2–4.3.3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-049,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.1.3,Deixis personal,Recurso lingüístico requerido por Describir personas,A1-DISCOURSE,MIXED,YES,YES,PERSON_DESCRIPTION,GEN8B-025,A1_CROSSREF,Pragmática 1.3.3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-050,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Adjetivos/SN — dimensión física — rasgos generales,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Nociones generales 5,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-051,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Posición del adjetivo,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Gramática 2.4,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-052,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Verbos de existencia,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Nociones generales 1.1,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-053,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Verbos de cualidad general,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Nociones generales 1.4,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-054,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Deixis espacial,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Pragmática 1.3.1; Nociones generales 3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-055,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Demostrativos dentro de la deixis espacial,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Pragmática 1.3.1,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-056,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Adverbios y locuciones dentro de la deixis espacial,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Nociones generales 3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-057,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Deixis temporal,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Pragmática 1.3.2; Nociones generales 4,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-058,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.2.3,Deixis personal,Recurso lingüístico requerido por Describir objetos,A1-DISCOURSE,MIXED,YES,YES,OBJECT_DESCRIPTION,GEN8B-029,A1_CROSSREF,Pragmática 1.3.3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-059,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.3.3,Adjetivos/SN — tipos de vivienda/lugar,Recurso lingüístico requerido por Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_CROSSREF,Nociones específicas 10.2.1,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-060,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.3.3,Adjetivos/SN — partes,Recurso lingüístico requerido por Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_CROSSREF,Nociones específicas 10.2.2,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-061,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.3.3,Adjetivos/SN — objetos domésticos,Recurso lingüístico requerido por Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_CROSSREF,Nociones específicas 10.4,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-062,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.3.3,Adjetivos/SN — condiciones,Recurso lingüístico requerido por Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_CROSSREF,Nociones específicas 10.2.4,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-063,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.3.3,Posición del adjetivo,Recurso lingüístico requerido por Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_CROSSREF,Gramática 2.4,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-064,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.3.3,Verbos de localización,Recurso lingüístico requerido por Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_CROSSREF,Nociones generales 3.1,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-065,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.3.3,Deixis espacial,Recurso lingüístico requerido por Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_CROSSREF,Pragmática 1.3.1; Nociones generales 3,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-066,A1_RESOURCE_CROSSREF,PCIC-07,A1,3.3.3,Demostrativos dentro de la deixis espacial,Recurso lingüístico requerido por Describir lugares,A1-DISCOURSE,MIXED,YES,YES,PLACE_DESCRIPTION,GEN8B-033,A1_CROSSREF,Pragmática 1.3.1,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
