record_id,record_type,domain,source_section,level,item,orthography_object_type,regional_scope,crossref,evidence_gate,baseline_action,notes,source_id,source_url,curriculum_version
9B-0025,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.2 c/k/q/z/ch,A1,z en final de sílaba/palabra,POSITIONAL_SPELLING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0026,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.2 c/k/q/z/ch,A1,ch representa /tʃ/,DIGRAPH_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0027,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.3 g/j,A1,"g representa /g/ ante a, o, u y consonante",GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0028,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.3 g/j,A1,"g representa /x/ ante e, i",GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0029,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.3 g/j,A1,"gu ante e, i representa /g/",DIGRAPH_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0030,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.3 g/j,A1,j representa /x/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0031,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.4 h,A1,h corresponde a ausencia de sonido,SILENT_LETTER,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0032,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.4 h,A1,h en inicio de palabra,POSITIONAL_SPELLING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0033,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.4 h,A1,"Palabras procedentes de voces latinas con f inicial: hacer, hijo",LEXICAL_SPELLING_PATTERN,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0034,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.5 y/ll,A1,y representa /i/ en diptongos/triptongos y como conjunción,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0035,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.5 y/ll,A1,y representa consonante palatal ante vocal,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0036,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.5 y/ll,A1,y cambia a e ante palabra con /i/ inicial,CONJUNCTION_ALTERNATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0037,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.5 y/ll,A1,ll representa consonante lateral/palatal según variedad,DIGRAPH_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0038,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.6 m/n/ñ,A1,m representa /m/ en inicio de palabra o sílaba,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0039,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.6 m/n/ñ,A1,m/n ante p y b: patrón ortográfico básico,POSITIONAL_SPELLING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0040,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.6 m/n/ñ,A1,n representa /n/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0041,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.6 m/n/ñ,A1,ñ representa /ɲ/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0042,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.7 p,A1,p representa /p/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0043,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.7 p,A1,Grupo inicial ps-: psicólogo,CONSONANT_CLUSTER,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0044,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.8 r/rr,A1,r representa vibrante simple en posiciones básicas,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0045,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.8 r/rr,A1,r representa vibrante múltiple en inicio y tras consonante de sílaba distinta,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0046,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.8 r/rr,A1,rr representa vibrante múltiple intervocálica,DIGRAPH_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0047,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.9 s/x,A1,s representa /s/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0048,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.9 s/x,A1,x representa /ks/ o /gs/ en posición intervocálica/final de sílaba,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0049,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.9 s/x,A1,x representa /s/ en inicio de palabra en algunos vocablos,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0050,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.9 s/x,A1,"x representa /x/ en México, Oaxaca, Texas y derivados",LEXICAL_SPELLING_PATTERN,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0051,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.10 t/d,A1,t representa /t/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0052,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,Mayúsculas en vocales y consonantes,CAPITALIZATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0053,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,"Mayúscula en palabras que empiezan por dígrafo: China, Lluvia",CAPITALIZATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0054,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,Mayúscula I/J sin punto,CAPITALIZATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0055,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,Las mayúsculas conservan la tilde,CAPITALIZATION_ACCENT,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0056,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,Distinción mayúscula/minúscula en palabras o enunciados,CAPITALIZATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0057,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,"Mayúscula en nombres propios, apellidos, topónimos y nombres geográficos",CAPITALIZATION_SEMANTIC,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0058,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,"Mayúscula en abreviaturas de tratamiento: D., D.ª, Sr., Sra.",CAPITALIZATION_ABBREVIATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0059,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,Mayúscula en primera palabra de texto,CAPITALIZATION_PUNCTUATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0060,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,Mayúscula después de punto,CAPITALIZATION_PUNCTUATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0061,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.4 Mayúsculas,A1,"Mayúscula después de cierre de interrogación/exclamación sin coma, punto y coma o dos puntos",CAPITALIZATION_PUNCTUATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0062,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.5 Minúsculas iniciales,A1,Minúsculas en apellidos con artículo/preposición según posición,LOWERCASE_SEMANTIC,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0063,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.5 Minúsculas iniciales,A1,Minúscula en tratamientos escritos como palabra: usted,LOWERCASE_SEMANTIC,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0064,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.5 Minúsculas iniciales,A1,"Minúscula en divisiones geográficas y accidentes: calle, plaza, mar, sierra",LOWERCASE_SEMANTIC,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0065,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.5 Minúsculas iniciales,A1,Minúscula en gentilicios,LOWERCASE_SEMANTIC,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0066,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.5 Minúsculas iniciales,A1,Minúscula en abreviaturas como c/ y pl.,LOWERCASE_ABBREVIATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0067,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.5 Minúsculas iniciales,A1,"Minúscula en días, meses y estaciones",LOWERCASE_SEMANTIC,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0068,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.5 Minúsculas iniciales,A1,"Minúscula en monedas: euro, peso",LOWERCASE_SEMANTIC,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
