domain,item_type,item,source_level,status,action,notes
TRABAJO,ATOMIC_FORM,ingeniero,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,Internet,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,jefe,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,médico,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,oficina,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,ordenador,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,profesión,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,profesor,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,taxista,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,teléfono,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,tienda,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,trabajo,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,vacaciones,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,comprar,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,estar,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,ser,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,tener,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,trabajar,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,vender,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,carta,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,postal,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,sobre,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,sello,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,papel,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,código,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,banco,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,dinero,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,euro,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,céntimo,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,tarjeta,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,cambiar,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,hospital,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,médico,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,enfermera,A1,PCIC_A1_EXPLICIT_FORM_RECOVERY,ADD_SURFACE_FORM_ONLY,Explicit A1 in Servicios sanitarios; enfermero is separately explicit A1 in Salud.
SERVICIOS,ATOMIC_FORM,policía,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,ATOMIC_FORM,bombero,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,centro,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,casa,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,calle,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,plaza,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,parque,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,restaurante,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,tienda,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,hospital,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,iglesia,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,colegio,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,escuela,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,museo,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,campo,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,ATOMIC_FORM,pueblo,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,calle,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,carretera,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,aeropuerto,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,puerto,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,estación,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,parada,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,coche,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,metro,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,tren,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,autobús,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,taxi,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,conductor,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,taxista,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,aparcamiento,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,garaje,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,avión,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,ATOMIC_FORM,policía,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,clase de español,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,clase de historia,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,clase de matemáticas,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,en grupos,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,en parejas,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,hacer los deberes,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,hacer un ejercicio,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,hacer un examen,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,hacer una actividad,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,ir a clase,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,MWU,tener un examen,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,MWU,ama de casa,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,MWU,dedicarse a,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,MWU,estar en paro,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,MWU,ser trabajador,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,MWU,tener trabajo,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,MWU,tener vacaciones,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,MWU,cambiar dinero,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,MWU,código postal,A1,PCIC_A1_PRESENT,KEEP,
SERVICIOS,MWU,tarjeta de crédito,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,centro comercial,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,oficina de información,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,oficina de turismo,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,parada de autobús,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,parada de taxis,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,parada de metro,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,estación de tren,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,estación de autobuses,A1,PCIC_A1_PRESENT,KEEP,
CIUDAD,MWU,estación de metro,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,carné de conducir,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,ir andando,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,ir en coche,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,ir en taxi,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,ir en tren,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,ir en metro,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,ir en autobús,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,ir en avión,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,ir en barco,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,estación de tren,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,estación de metro,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,estación de autobuses,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,parada de autobús,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,parada de taxi,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,parada de metro,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,viajar en avión,A1,PCIC_A1_PRESENT,KEEP,
TRANSPORTE_URBANO,MWU,viajar en barco,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,BOUNDARY_ASSERTION,colegio,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally. This form has A1 evidence elsewhere in PCIC."
EDUCACION,BOUNDARY_ASSERTION,escuela,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally. This form has A1 evidence elsewhere in PCIC."
EDUCACION,BOUNDARY_ASSERTION,aula,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,alumno,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,compañero de clase,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,programa del curso,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,matrícula,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,hacer un curso,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,diploma,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,certificado,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,aprobar,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,suspender,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,preguntar,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,contestar,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,completar,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,dibujar,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,adivinar,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,cuaderno,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,hoja,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,regla,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,impresora,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
EDUCACION,BOUNDARY_ASSERTION,fotocopiadora,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,dependiente,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,funcionario,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,comercial,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,empresario,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,negocio,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,peluquería,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,despacho,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,fábrica,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,traje,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,corbata,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,uniforme,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,cliente,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,producto,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,reunión,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,factura,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,currículum,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,entrevista,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
TRABAJO,BOUNDARY_ASSERTION,jubilado,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
SERVICIOS,BOUNDARY_ASSERTION,oficina de correos,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
SERVICIOS,BOUNDARY_ASSERTION,moneda,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
SERVICIOS,BOUNDARY_ASSERTION,billete,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally. This form has A1 evidence elsewhere in PCIC."
SERVICIOS,BOUNDARY_ASSERTION,cajero automático,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
SERVICIOS,BOUNDARY_ASSERTION,ambulancia,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
SERVICIOS,BOUNDARY_ASSERTION,comisaría de policía,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
SERVICIOS,BOUNDARY_ASSERTION,socorro,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
SERVICIOS,BOUNDARY_ASSERTION,teléfono de emergencia,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
CIUDAD,BOUNDARY_ASSERTION,habitante,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
CIUDAD,BOUNDARY_ASSERTION,barrio,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
CIUDAD,BOUNDARY_ASSERTION,esquina,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
CIUDAD,BOUNDARY_ASSERTION,ayuntamiento,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
CIUDAD,BOUNDARY_ASSERTION,catedral,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally. This form has A1 evidence elsewhere in PCIC."
CIUDAD,BOUNDARY_ASSERTION,castillo,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
CIUDAD,BOUNDARY_ASSERTION,palacio,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
CIUDAD,BOUNDARY_ASSERTION,plaza mayor,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally."
CIUDAD,BOUNDARY_ASSERTION,monumento,A2,PCIC_A2_ASSERTION_IN_DOMAIN,DO_NOT_IMPORT_FROM_THIS_ASSERTION,"Level applies to this PCIC domain assertion, not necessarily to the form globally. This form has A1 evidence elsewhere in PCIC."
